Ngày,Mở cửa,Đóng cửa,Thay đổi,% Thay đổi,KLGD khớp lệnh,KLGD thỏa thuận,KLGD tổng cộng,GTGD khớp lệnh (tỷ),GTGD thỏa thuận (tỷ),GTGD tổng cộng (tỷ)
17/06/2022,8.6,9.0,-0.3,-3.23%,50800,0,50800,0.0,0.0,0.0
16/06/2022,9.4,9.1,0.0,0,12700,0,12700,0.0,0.0,0.0
15/06/2022,9.4,9.4,0.4,4.44%,22400,0,22400,0.0,0.0,0.0
14/06/2022,9.0,9.3,0.3,3.33%,32000,0,32000,0.0,0.0,0.0
13/06/2022,9.0,8.8,-0.9,-9.28%,16700,0,16700,0.0,0.0,0.0
10/06/2022,9.7,9.9,0.2,2.06%,15100,0,15100,0.0,0.0,0.0
09/06/2022,9.0,9.8,0.1,1.03%,4600,0,4600,0.0,0.0,0.0
08/06/2022,10.0,9.7,0.1,1.04%,20300,0,20300,0.0,0.0,0.0
07/06/2022,10.0,9.9,0.0,0,45200,0,45200,0.0,0.0,0.0
06/06/2022,10.5,9.9,0.0,0,9900,0,9900,0.0,0.0,0.0
03/06/2022,10.0,10.0,0.1,1.01%,17300,0,17300,0.0,0.0,0.0
02/06/2022,10.0,10.0,0.0,0,18700,0,18700,0.0,0.0,0.0
01/06/2022,10.4,10.3,-0.1,-0.96%,25600,0,25600,0.0,0.0,0.0
31/05/2022,10.7,10.5,0.3,2.94%,21300,0,21300,0.0,0.0,0.0
30/05/2022,9.6,10.8,1.3,13.68%,81400,0,81400,0.0,0.0,0.0
27/05/2022,9.5,9.4,0.0,0,44500,0,44500,0.0,0.0,0.0
26/05/2022,9.4,9.5,0.5,5.56%,49700,0,49700,0.0,0.0,0.0
25/05/2022,8.6,9.3,0.7,8.14%,63400,0,63400,0.0,0.0,0.0
24/05/2022,8.5,8.6,-0.2,-2.27%,8100,0,8100,0.0,0.0,0.0
23/05/2022,7.5,8.6,-0.2,-2.27%,14100,0,14100,0.0,0.0,0.0
20/05/2022,8.6,8.9,0.2,2.30%,56000,0,56000,0.0,0.0,0.0
19/05/2022,9.0,8.7,-0.4,-4.40%,13649,0,13600,0.12,0.0,0.11815
18/05/2022,9.4,9.0,0.2,2.27%,6313,0,6300,0.06,0.0,0.05742
17/05/2022,8.7,9.1,0.6,7.06%,16900,0,16900,0.15,0.0,0.14838
16/05/2022,9.3,8.5,-0.1,-1.16%,57160,0,57100,0.48,0.0,0.48307
13/05/2022,9.4,8.2,-1.0,-10.87%,32400,0,32400,0.28,0.0,0.27732
12/05/2022,9.9,9.1,-0.2,-2.15%,45000,0,45000,0.42,0.0,0.41543
11/05/2022,9.9,9.3,0.0,0,11200,0,11200,0.1,0.0,0.10414
10/05/2022,8.3,9.5,-0.2,-2.06%,17500,0,17500,0.16,0.0,0.16205
09/05/2022,9.9,9.5,-0.6,-5.94%,38100,0,38100,0.37,0.0,0.36832
06/05/2022,10.0,9.9,-0.4,-3.88%,34209,0,34200,0.35,0.0,0.34509
05/05/2022,10.7,10.1,-0.2,-1.94%,25800,0,25800,0.27,0.0,0.26538
04/05/2022,10.1,10.6,0.5,4.95%,23505,0,23500,0.24,0.0,0.24306
29/04/2022,10.3,10.1,0.0,0,23400,0,23300,0.24,0.0,0.23721
28/04/2022,10.1,10.1,0.0,0,36300,0,36300,0.37,0.0,0.36572
27/04/2022,10.5,10.0,0.1,1.01%,13645,0,13600,0.14,0.0,0.13783
26/04/2022,11.0,10.0,-0.2,-1.96%,47800,0,47800,0.47,0.0,0.47273
25/04/2022,10.5,10.0,-0.2,-1.96%,13855,0,13800,0.14,0.0,0.14074
22/04/2022,10.0,10.2,0.2,2.00%,44500,0,44500,0.45,0.0,0.45465
21/04/2022,11.1,10.0,-1.1,-9.91%,76200,0,76200,0.76,0.0,0.76044
20/04/2022,11.5,11.2,-0.5,-4.27%,29900,0,29900,0.33,0.0,0.33087
19/04/2022,11.7,10.8,-0.9,-7.69%,24325,0,24300,0.28,0.0,0.2834
18/04/2022,12.0,11.7,-0.3,-2.50%,21414,0,21400,0.25,0.0,0.25127
15/04/2022,12.0,12.2,0.1,0.83%,47503,0,47500,0.57,0.0,0.56824
14/04/2022,12.1,12.0,0.0,0,42200,0,42200,0.51,0.0,0.51032
13/04/2022,12.1,12.1,0.0,0,51502,0,51500,0.62,0.0,0.61796
12/04/2022,12.2,12.0,-0.4,-3.23%,82700,0,82700,1.0,0.0,1.00075
08/04/2022,12.5,12.3,-0.3,-2.38%,75500,0,75500,0.93,0.0,0.9349
07/04/2022,12.7,12.6,-0.1,-0.79%,47148,0,47000,0.59,0.0,0.59437
06/04/2022,12.9,12.8,-0.1,-0.78%,66500,0,66500,0.85,0.0,0.84718
