Ngày,Mở cửa,Đóng cửa,Thay đổi,% Thay đổi,KLGD khớp lệnh,KLGD thỏa thuận,KLGD tổng cộng,GTGD khớp lệnh (tỷ),GTGD thỏa thuận (tỷ),GTGD tổng cộng (tỷ)
17/06/2022,19.4,19.8,0.4,2.06%,1370,0,1370,0.0,0.0,0.0
16/06/2022,18.65,19.4,0.75,4.02%,880,0,880,0.0,0.0,0.0
15/06/2022,20.0,18.65,-1.35,-6.75%,2570,0,2570,0.0,0.0,0.0
14/06/2022,20.0,20.0,0.0,0,680,0,680,0.0,0.0,0.0
13/06/2022,20.85,20.0,-0.85,-4.08%,2120,0,2120,0.0,0.0,0.0
10/06/2022,20.7,20.85,0.15,0.72%,790,0,790,0.0,0.0,0.0
09/06/2022,21.0,20.7,-0.3,-1.43%,180,0,180,0.0,0.0,0.0
08/06/2022,20.9,21.0,0.1,0.48%,1170,0,1170,0.0,0.0,0.0
07/06/2022,21.65,20.9,-0.1,-0.48%,690,0,690,0.0,0.0,0.0
06/06/2022,20.9,21.0,0.1,0.48%,90,0,90,0.0,0.0,0.0
03/06/2022,20.5,20.9,0.4,1.95%,1550,0,1550,0.0,0.0,0.0
02/06/2022,21.45,20.5,-0.95,-4.43%,1990,0,1990,0.0,0.0,0.0
01/06/2022,20.65,21.45,0.0,0,420,0,420,0.0,0.0,0.0
31/05/2022,21.55,21.45,-0.1,-0.46%,660,0,660,0.0,0.0,0.0
30/05/2022,21.85,21.55,-0.3,-1.37%,780,0,780,0.0,0.0,0.0
27/05/2022,21.9,21.85,-0.05,-0.23%,2130,0,2130,0.0,0.0,0.0
26/05/2022,21.9,21.9,0.0,0,710,0,710,0.0,0.0,0.0
25/05/2022,21.9,21.9,0.35,1.62%,3700,0,3700,0.0,0.0,0.0
24/05/2022,21.5,21.55,0.05,0.23%,520,0,520,0.0,0.0,0.0
23/05/2022,22.3,21.5,-0.8,-3.59%,390,0,390,0.0,0.0,0.0
20/05/2022,21.55,22.3,0.8,3.72%,380,0,380,0.0,0.0,0.0
19/05/2022,20.8,21.5,0.05,0.23%,9300,0,930,0.2,0.0,0.19658
18/05/2022,21.35,21.45,0.1,0.47%,4000,0,400,0.09,0.0,0.08588
17/05/2022,20.85,21.35,0.5,2.40%,7100,0,710,0.15,0.0,0.14872
16/05/2022,21.75,20.85,-0.9,-4.14%,6800,0,680,0.14,0.0,0.14439
13/05/2022,22.25,22.25,0.0,0,8700,0,860,0.19,0.0,0.18751
12/05/2022,23.9,22.25,-1.65,-6.90%,22800,0,2280,0.51,0.0,0.51478
11/05/2022,23.2,23.9,0.7,3.02%,37300,0,3730,0.88,0.0,0.88327
10/05/2022,22.3,23.2,0.9,4.04%,98700,0,9870,2.24,0.0,2.24249
09/05/2022,22.8,22.3,-0.1,-0.45%,56100,0,5610,1.27,0.0,1.27341
06/05/2022,20.5,22.4,1.45,6.92%,67100,0,6710,1.48,0.0,1.48072
05/05/2022,20.8,20.95,0.15,0.72%,37900,0,3790,0.79,0.0,0.79262
04/05/2022,20.25,20.8,0.6,2.97%,36200,0,3620,0.74,0.0,0.74021
29/04/2022,20.05,20.2,0.15,0.75%,31400,0,3140,0.63,0.0,0.62945
28/04/2022,20.05,20.05,0.15,0.75%,10600,0,1060,0.21,0.0,0.21437
27/04/2022,19.85,19.9,0.15,0.76%,31300,0,3130,0.62,0.0,0.62339
26/04/2022,20.0,19.7,-0.3,-1.50%,48900,0,4840,0.96,0.0,0.95989
25/04/2022,19.8,20.0,0.2,1.01%,25100,0,2510,0.5,0.0,0.49595
