Ngày,Mở cửa,Đóng cửa,Thay đổi,% Thay đổi,KLGD khớp lệnh,KLGD thỏa thuận,KLGD tổng cộng,GTGD khớp lệnh (tỷ),GTGD thỏa thuận (tỷ),GTGD tổng cộng (tỷ)
17/06/2022,7.0,6.99,-0.51,-6.80%,23250,0,23250,0.0,0.0,0.0
16/06/2022,7.8,7.5,-0.02,-0.27%,9650,0,9650,0.0,0.0,0.0
15/06/2022,8.0,7.52,-0.48,-6.00%,10430,0,10430,0.0,0.0,0.0
14/06/2022,7.47,8.0,0.02,0.25%,9350,0,9350,0.0,0.0,0.0
13/06/2022,8.52,7.98,-0.59,-6.88%,22520,0,22520,0.0,0.0,0.0
10/06/2022,8.97,8.57,-0.33,-3.71%,16530,0,16530,0.0,0.0,0.0
09/06/2022,9.01,8.9,-0.1,-1.11%,11270,0,11270,0.0,0.0,0.0
08/06/2022,8.89,9.0,0.12,1.35%,7630,0,7630,0.0,0.0,0.0
07/06/2022,9.0,8.88,-0.12,-1.33%,13870,0,13870,0.0,0.0,0.0
06/06/2022,9.03,9.0,0.0,0,14260,0,14260,0.0,0.0,0.0
03/06/2022,8.99,9.0,0.0,0,10290,0,10290,0.0,0.0,0.0
02/06/2022,9.49,9.0,-0.51,-5.36%,10900,0,10900,0.0,0.0,0.0
01/06/2022,9.52,9.51,0.0,0,23990,0,23990,0.0,0.0,0.0
31/05/2022,9.29,9.51,0.49,5.43%,30050,0,30050,0.0,0.0,0.0
30/05/2022,9.15,9.02,0.27,3.09%,14760,0,14760,0.0,0.0,0.0
27/05/2022,8.55,8.75,0.22,2.58%,16270,0,16270,0.0,0.0,0.0
26/05/2022,8.5,8.53,0.14,1.67%,8370,0,8370,0.0,0.0,0.0
25/05/2022,8.21,8.39,0.18,2.19%,13010,0,13010,0.0,0.0,0.0
24/05/2022,8.26,8.21,-0.05,-0.61%,6610,0,6610,0.0,0.0,0.0
23/05/2022,8.26,8.26,0.02,0.24%,9450,0,9450,0.0,0.0,0.0
20/05/2022,8.2,8.24,0.04,0.49%,8650,0,8650,0.0,0.0,0.0
19/05/2022,8.0,8.2,-0.1,-1.20%,65900,0,6590,0.54,0.0,0.53851
18/05/2022,8.74,8.3,-0.02,-0.24%,108900,0,10890,0.93,0.0,0.93208
17/05/2022,7.9,8.32,0.52,6.67%,122900,0,12290,1.0,0.0,0.99798
16/05/2022,7.9,7.8,0.01,0.13%,92200,0,9220,0.73,0.0,0.73379
13/05/2022,8.2,7.79,-0.58,-6.93%,210800,0,20770,1.66,0.0,1.65935
12/05/2022,9.0,8.37,-0.63,-7.00%,193400,0,19340,1.69,0.0,1.68943
11/05/2022,9.15,9.0,-0.09,-0.99%,98000,0,9800,0.88,0.0,0.8838
10/05/2022,8.9,9.09,-0.17,-1.84%,310000,0,31000,2.7,0.0,2.70097
09/05/2022,9.95,9.26,-0.69,-6.93%,128800,0,12880,1.2,0.0,1.20125
06/05/2022,9.96,9.95,-0.45,-4.33%,107600,0,10760,1.08,0.0,1.08205
05/05/2022,10.75,10.4,0.0,0,153200,0,15320,1.61,0.0,1.61326
04/05/2022,10.15,10.4,0.25,2.46%,158700,0,15870,1.64,0.0,1.64479
29/04/2022,9.8,10.15,0.25,2.53%,137400,0,13740,1.37,0.0,1.37162
28/04/2022,9.9,9.9,0.0,0,140100,0,14010,1.4,0.0,1.39532
27/04/2022,9.83,9.9,0.1,1.02%,118700,0,11870,1.15,0.0,1.14738
26/04/2022,9.0,9.8,0.26,2.73%,268300,0,26600,2.43,0.0,2.43172
