Ngày,Mở cửa,Đóng cửa,Thay đổi,% Thay đổi,KLGD khớp lệnh,KLGD thỏa thuận,KLGD tổng cộng,GTGD khớp lệnh (tỷ),GTGD thỏa thuận (tỷ),GTGD tổng cộng (tỷ)
17/06/2022,78.5,78.5,0.0,0,100,0,100,0.0,0.0,0.0
16/06/2022,78.5,78.5,0.0,0,0,0,0,0.0,0.0,0.0
15/06/2022,81.5,78.5,0.5,0.64%,300,0,300,0.0,0.0,0.0
14/06/2022,78.0,78.0,0.0,0,0,0,0,0.0,0.0,0.0
13/06/2022,79.0,78.0,-3.5,-4.29%,6700,0,6700,0.0,0.0,0.0
10/06/2022,76.5,81.5,-2.0,-2.40%,300,0,300,0.0,0.0,0.0
09/06/2022,83.5,83.5,0.0,0,0,0,0,0.0,0.0,0.0
08/06/2022,81.5,83.5,2.0,2.45%,1200,0,1200,0.0,0.0,0.0
07/06/2022,81.4,81.5,0.0,0,1000,0,1000,0.0,0.0,0.0
06/06/2022,81.0,81.5,0.5,0.62%,3200,0,3200,0.0,0.0,0.0
03/06/2022,81.5,81.0,0.0,0,3000,0,3000,0.0,0.0,0.0
02/06/2022,75.1,81.0,1.4,1.76%,3000,0,3000,0.0,0.0,0.0
01/06/2022,79.4,79.6,1.6,2.05%,1300,0,1300,0.0,0.0,0.0
31/05/2022,75.0,78.0,0.0,0,900,0,900,0.0,0.0,0.0
30/05/2022,78.0,78.0,0.0,0,1000,0,1000,0.0,0.0,0.0
27/05/2022,78.0,78.0,0.0,0,1200,0,1200,0.0,0.0,0.0
26/05/2022,78.0,78.0,0.0,0,500,0,500,0.0,0.0,0.0
25/05/2022,79.5,78.0,-2.0,-2.50%,13300,0,13300,0.0,0.0,0.0
24/05/2022,75.1,80.0,-1.0,-1.23%,18000,0,18000,0.0,0.0,0.0
23/05/2022,76.2,81.0,-1.0,-1.22%,26600,0,26600,0.0,0.0,0.0
20/05/2022,82.0,82.0,0.0,0,0,0,0,0.0,0.0,0.0
19/05/2022,78.0,82.0,2.0,2.50%,403,0,400,0.03,0.0,0.03185
18/05/2022,74.1,80.0,-2.0,-2.44%,14302,0,14300,1.14,0.0,1.14472
