Ngày,Mở cửa,Đóng cửa,Thay đổi,% Thay đổi,KLGD khớp lệnh,KLGD thỏa thuận,KLGD tổng cộng,GTGD khớp lệnh (tỷ),GTGD thỏa thuận (tỷ),GTGD tổng cộng (tỷ)
17/06/2022,11.5,11.5,0.0,0,0,0,0,0.0,0.0,0.0
16/06/2022,11.5,11.5,0.0,0,0,0,0,0.0,0.0,0.0
15/06/2022,11.5,11.5,0.0,0,0,0,0,0.0,0.0,0.0
14/06/2022,11.5,11.5,0.1,0.88%,100,0,100,0.0,0.0,0.0
13/06/2022,11.4,11.4,0.0,0,0,0,0,0.0,0.0,0.0
10/06/2022,11.4,11.4,-1.2,-9.52%,100,0,100,0.0,0.0,0.0
09/06/2022,12.6,12.6,0.0,0,0,0,0,0.0,0.0,0.0
08/06/2022,12.6,12.6,0.0,0,0,0,0,0.0,0.0,0.0
07/06/2022,12.6,12.6,0.0,0,0,0,0,0.0,0.0,0.0
06/06/2022,12.6,12.6,0.0,0,0,0,0,0.0,0.0,0.0
03/06/2022,12.6,12.6,0.0,0,0,0,0,0.0,0.0,0.0
02/06/2022,12.6,12.6,0.0,0,0,0,0,0.0,0.0,0.0
01/06/2022,12.6,12.6,0.0,0,0,0,0,0.0,0.0,0.0
31/05/2022,12.6,12.6,0.0,0,0,0,0,0.0,0.0,0.0
30/05/2022,12.6,12.6,0.0,0,0,0,0,0.0,0.0,0.0
27/05/2022,12.6,12.6,0.0,0,0,0,0,0.0,0.0,0.0
26/05/2022,12.6,12.6,0.0,0,0,0,0,0.0,0.0,0.0
25/05/2022,12.6,12.6,0.0,0,0,0,0,0.0,0.0,0.0
24/05/2022,12.6,12.6,0.0,0,0,0,0,0.0,0.0,0.0
23/05/2022,12.6,12.6,0.0,0,0,0,0,0.0,0.0,0.0
20/05/2022,12.6,12.6,0.0,0,0,0,0,0.0,0.0,0.0
19/05/2022,12.6,12.6,0.0,0,0,0,0,0.0,0.0,0.0
18/05/2022,12.6,12.6,0.0,0,0,0,0,0.0,0.0,0.0
17/05/2022,12.6,12.6,0.0,0,0,0,0,0.0,0.0,0.0
16/05/2022,12.6,12.6,0.0,0,0,0,0,0.0,0.0,0.0
13/05/2022,10.4,12.6,1.1,9.57%,300,0,300,0.0,0.0,0.00356
12/05/2022,11.5,11.5,0.0,0,0,0,0,0.0,0.0,0.0
11/05/2022,11.5,11.5,-0.9,-7.26%,100,0,100,0.0,0.0,0.00115
10/05/2022,13.7,12.4,-1.3,-9.49%,300,0,300,0.0,0.0,0.00398
09/05/2022,13.7,13.7,0.0,0,0,0,0,0.0,0.0,0.0
06/05/2022,13.7,13.7,0.0,0,0,0,0,0.0,0.0,0.0
05/05/2022,13.7,13.7,0.0,0,0,0,0,0.0,0.0,0.0
04/05/2022,15.1,13.7,-1.4,-9.27%,2400,0,2400,0.04,0.0,0.03596
29/04/2022,15.1,15.1,0.0,0,0,0,0,0.0,0.0,0.0
28/04/2022,15.1,15.1,0.0,0,0,0,0,0.0,0.0,0.0
27/04/2022,15.1,15.1,0.0,0,0,0,0,0.0,0.0,0.0
26/04/2022,15.1,15.1,0.0,0,0,0,0,0.0,0.0,0.0
25/04/2022,15.1,15.1,0.0,0,0,0,0,0.0,0.0,0.0
22/04/2022,15.1,15.1,0.0,0,0,0,0,0.0,0.0,0.0
21/04/2022,15.1,15.1,0.0,0,700,0,700,0.01,0.0,0.01057
20/04/2022,15.1,15.1,0.0,0,0,0,0,0.0,0.0,0.0
19/04/2022,15.1,15.1,0.0,0,0,0,0,0.0,0.0,0.0
18/04/2022,15.1,15.1,0.0,0,0,0,0,0.0,0.0,0.0
15/04/2022,15.1,15.1,0.0,0,0,0,0,0.0,0.0,0.0
14/04/2022,15.1,15.1,0.0,0,0,0,0,0.0,0.0,0.0
13/04/2022,15.1,15.1,0.0,0,0,0,0,0.0,0.0,0.0
12/04/2022,15.1,15.1,0.0,0,0,0,0,0.0,0.0,0.0
08/04/2022,15.1,15.1,0.1,0.67%,100,0,100,0.0,0.0,0.00151
07/04/2022,15.0,15.0,0.0,0,0,0,0,0.0,0.0,0.0
06/04/2022,15.0,15.0,0.0,0,0,0,0,0.0,0.0,0.0
05/04/2022,15.0,15.0,0.0,0,0,0,0,0.0,0.0,0.0
04/04/2022,15.2,15.0,1.1,7.91%,200,0,200,0.0,0.0,0.00302
01/04/2022,13.9,13.9,1.2,9.45%,100,0,100,0.0,0.0,0.00139
31/03/2022,12.7,12.7,0.0,0,0,0,0,0.0,0.0,0.0
30/03/2022,14.8,12.7,-0.8,-5.93%,300,0,300,0.0,0.0,0.00402
29/03/2022,13.5,13.5,0.0,0,0,0,0,0.0,0.0,0.0
28/03/2022,13.5,13.5,1.2,9.76%,100,0,100,0.0,0.0,0.00135
25/03/2022,12.3,12.3,0.0,0,0,0,0,0.0,0.0,0.0
24/03/2022,12.3,12.3,0.0,0,78,0,0,0.0,0.0,0.00105
23/03/2022,12.3,12.3,0.0,0,10,0,0,0.0,0.0,0.00014
22/03/2022,12.3,12.3,0.0,0,0,0,0,0.0,0.0,0.0
21/03/2022,12.3,12.3,1.1,9.82%,110,0,100,0.0,0.0,0.00135
18/03/2022,11.2,11.2,0.0,0,0,0,0,0.0,0.0,0.0
17/03/2022,11.2,11.2,0.0,0,0,0,0,0.0,0.0,0.0
16/03/2022,11.2,11.2,0.0,0,0,0,0,0.0,0.0,0.0
15/03/2022,11.2,11.2,0.0,0,0,0,0,0.0,0.0,0.0
14/03/2022,11.2,11.2,0.0,0,0,0,0,0.0,0.0,0.0
11/03/2022,12.6,11.2,-0.3,-2.61%,200,0,200,0.0,0.0,0.00238
10/03/2022,11.5,11.5,0.0,0,0,0,0,0.0,0.0,0.0
09/03/2022,11.5,11.5,0.0,0,0,0,0,0.0,0.0,0.0
08/03/2022,11.5,11.5,0.0,0,0,0,0,0.0,0.0,0.0
07/03/2022,11.5,11.5,0.0,0,0,0,0,0.0,0.0,0.0
04/03/2022,11.5,11.5,0.0,0,0,0,0,0.0,0.0,0.0
03/03/2022,11.5,11.5,0.0,0,0,0,0,0.0,0.0,0.0
02/03/2022,11.5,11.5,0.0,0,0,0,0,0.0,0.0,0.0
01/03/2022,11.5,11.5,0.0,0,0,0,0,0.0,0.0,0.0
28/02/2022,11.5,11.5,0.0,0,0,0,0,0.0,0.0,0.0
25/02/2022,12.5,12.5,1.1,9.65%,1300,0,1300,0.02,0.0,0.01625
24/02/2022,11.4,11.4,0.0,0,0,0,0,0.0,0.0,0.0
23/02/2022,11.4,11.4,0.0,0,0,0,0,0.0,0.0,0.0
22/02/2022,11.4,11.4,0.0,0,0,0,0,0.0,0.0,0.0
21/02/2022,11.4,11.4,0.0,0,0,0,0,0.0,0.0,0.0
18/02/2022,11.4,11.4,0.0,0,0,0,0,0.0,0.0,0.0
17/02/2022,11.4,11.4,0.0,0,0,0,0,0.0,0.0,0.0
16/02/2022,11.4,11.4,0.0,0,0,0,0,0.0,0.0,0.0
15/02/2022,11.4,11.4,0.0,0,0,0,0,0.0,0.0,0.0
14/02/2022,11.4,11.4,0.0,0,0,0,0,0.0,0.0,0.0
11/02/2022,11.4,11.4,-0.5,-4.20%,500,0,500,0.01,0.0,0.0057
10/02/2022,11.9,11.9,-1.0,-7.75%,1000,0,1000,0.01,0.0,0.0119
09/02/2022,12.9,12.9,0.0,0,0,0,0,0.0,0.0,0.0
08/02/2022,12.9,12.9,-1.3,-9.15%,1900,0,1900,0.02,0.0,0.02451
07/02/2022,14.2,14.2,0.0,0,0,0,0,0.0,0.0,0.0
28/01/2022,14.2,14.2,0.0,0,0,0,0,0.0,0.0,0.0
27/01/2022,14.2,14.2,0.2,1.43%,200,0,200,0.0,0.0,0.00284
26/01/2022,14.0,14.0,0.0,0,0,0,0,0.0,0.0,0.0
25/01/2022,14.0,14.0,0.0,0,0,0,0,0.0,0.0,0.0
24/01/2022,14.0,14.0,0.0,0,0,0,0,0.0,0.0,0.0
21/01/2022,14.0,14.0,0.0,0,0,0,0,0.0,0.0,0.0
20/01/2022,14.0,14.0,0.1,0.72%,100,0,100,0.0,0.0,0.0014
19/01/2022,13.9,13.9,0.0,0,5,0,0,0.0,0.0,6e-05
18/01/2022,13.9,13.9,0.0,0,0,0,0,0.0,0.0,0.0
17/01/2022,13.9,13.9,0.0,0,0,0,0,0.0,0.0,0.0
14/01/2022,13.9,13.9,0.0,0,0,0,0,0.0,0.0,0.0
13/01/2022,13.9,13.9,0.0,0,2,0,0,0.0,0.0,3e-05
12/01/2022,13.9,13.9,0.0,0,3,0,0,0.0,0.0,5e-05
11/01/2022,13.9,13.9,0.0,0,0,0,0,0.0,0.0,0.0
10/01/2022,13.9,13.9,1.2,9.45%,300,0,300,0.0,0.0,0.00417
07/01/2022,12.7,12.7,0.0,0,0,0,0,0.0,0.0,0.0
06/01/2022,12.7,12.7,0.0,0,0,0,0,0.0,0.0,0.0
05/01/2022,12.7,12.7,0.0,0,0,0,0,0.0,0.0,0.0
04/01/2022,12.7,12.7,0.0,0,0,0,0,0.0,0.0,0.0
31/12/2021,12.7,12.7,0.0,0,0,0,0,0.0,0.0,0.0
30/12/2021,12.7,12.7,0.0,0,0,0,0,0.0,0.0,0.0
29/12/2021,12.7,12.7,0.0,0,0,0,0,0.0,0.0,0.0
28/12/2021,12.7,12.7,0.0,0,600,0,600,0.01,0.0,0.00762
27/12/2021,12.7,12.7,0.0,0,100,0,100,0.0,0.0,0.00127
24/12/2021,12.7,12.7,1.1,9.48%,600,0,600,0.01,0.0,0.00762
23/12/2021,11.6,11.6,0.0,0,0,0,0,0.0,0.0,0.0
22/12/2021,11.6,11.6,-1.2,-9.38%,100,0,100,0.0,0.0,0.00116
21/12/2021,12.8,12.8,0.0,0,0,0,0,0.0,0.0,0.0
20/12/2021,12.8,12.8,0.0,0,0,0,0,0.0,0.0,0.0
17/12/2021,12.8,12.8,1.1,9.40%,1000,8000,1000,0.01,0.0848,0.0976
16/12/2021,11.7,11.7,-1.2,-9.30%,100,0,100,0.0,0.0,0.00117
15/12/2021,14.0,12.9,0.1,0.78%,1200,0,1200,0.02,0.0,0.01669
