Ngày,Mở cửa,Đóng cửa,Thay đổi,% Thay đổi,KLGD khớp lệnh,KLGD thỏa thuận,KLGD tổng cộng,GTGD khớp lệnh (tỷ),GTGD thỏa thuận (tỷ),GTGD tổng cộng (tỷ)
17/06/2022,9.3,9.3,0.0,0,0,0,0,0.0,0.0,0.0
16/06/2022,9.3,9.3,0.8,9.41%,1900,0,1900,0.0,0.0,0.0
15/06/2022,9.5,9.4,-0.1,-1.05%,2700,0,2700,0.0,0.0,0.0
14/06/2022,9.5,9.5,0.0,0,0,0,0,0.0,0.0,0.0
13/06/2022,9.5,9.5,0.5,5.56%,100,0,100,0.0,0.0,0.0
10/06/2022,8.7,9.7,-0.2,-2.02%,3200,0,3200,0.0,0.0,0.0
09/06/2022,10.0,9.8,-0.2,-2.00%,900,0,900,0.0,0.0,0.0
08/06/2022,10.0,10.0,0.0,0,0,0,0,0.0,0.0,0.0
07/06/2022,9.0,10.2,1.1,12.09%,600,0,600,0.0,0.0,0.0
06/06/2022,9.2,9.1,-0.8,-8.08%,2600,0,2600,0.0,0.0,0.0
03/06/2022,9.9,10.5,0.8,8.25%,2600,0,2600,0.0,0.0,0.0
02/06/2022,9.5,10.2,0.9,9.68%,400,0,400,0.0,0.0,0.0
01/06/2022,10.5,9.2,0.0,0,3700,0,3700,0.0,0.0,0.0
31/05/2022,9.2,9.2,-1.4,-13.21%,5200,0,5200,0.0,0.0,0.0
30/05/2022,10.6,10.5,-0.1,-0.94%,3300,0,3300,0.0,0.0,0.0
27/05/2022,10.6,10.6,0.8,8.16%,100,0,100,0.0,0.0,0.0
26/05/2022,9.8,9.8,0.0,0,0,0,0,0.0,0.0,0.0
25/05/2022,9.8,9.8,0.0,0,500,0,500,0.0,0.0,0.0
24/05/2022,9.8,9.8,0.0,0,2100,0,2100,0.0,0.0,0.0
23/05/2022,9.3,10.3,-0.6,-5.50%,400,0,400,0.0,0.0,0.0
20/05/2022,10.9,10.8,-0.2,-1.82%,700,0,700,0.0,0.0,0.0
19/05/2022,11.0,11.0,0.0,0,100,0,100,0.0,0.0,0.0011
18/05/2022,11.0,11.0,0.0,0,1200,0,1200,0.01,0.0,0.0132
17/05/2022,11.0,11.0,0.0,0,0,0,0,0.0,0.0,0.0
16/05/2022,11.0,11.0,0.0,0,0,0,0,0.0,0.0,0.0
13/05/2022,11.0,11.0,0.0,0,0,0,0,0.0,0.0,0.0
12/05/2022,11.0,11.0,0.0,0,0,0,0,0.0,0.0,0.0
11/05/2022,11.0,11.0,-1.0,-8.33%,400,0,400,0.0,0.0,0.0044
