Ngày,Mở cửa,Đóng cửa,Thay đổi,% Thay đổi,KLGD khớp lệnh,KLGD thỏa thuận,KLGD tổng cộng,GTGD khớp lệnh (tỷ),GTGD thỏa thuận (tỷ),GTGD tổng cộng (tỷ)
17/06/2022,4.8,4.8,0.0,0,500,0,500,0.0,0.0,0.0
16/06/2022,5.0,4.7,0.2,4.44%,1400,0,1400,0.0,0.0,0.0
15/06/2022,4.8,4.5,-0.2,-4.26%,700,0,700,0.0,0.0,0.0
14/06/2022,4.3,4.7,-0.3,-6.00%,2000,0,2000,0.0,0.0,0.0
13/06/2022,5.0,5.0,0.0,0,0,0,0,0.0,0.0,0.0
10/06/2022,5.0,5.0,0.0,0,800,0,800,0.0,0.0,0.0
09/06/2022,5.0,5.0,0.2,4.17%,600,0,600,0.0,0.0,0.0
08/06/2022,4.7,4.9,0.2,4.26%,5700,0,5700,0.0,0.0,0.0
07/06/2022,4.8,4.8,0.0,0,2000,0,2000,0.0,0.0,0.0
06/06/2022,4.9,4.8,0.0,0,2700,0,2700,0.0,0.0,0.0
03/06/2022,4.5,4.9,-0.3,-5.77%,5100,0,5100,0.0,0.0,0.0
02/06/2022,5.3,5.0,-0.2,-3.85%,3500,0,3500,0.0,0.0,0.0
01/06/2022,5.1,5.3,0.2,3.92%,2300,0,2300,0.0,0.0,0.0
31/05/2022,5.0,5.1,0.1,2.00%,4400,0,4400,0.0,0.0,0.0
30/05/2022,4.6,5.0,0.0,0,8300,0,8300,0.0,0.0,0.0
27/05/2022,5.0,5.0,0.0,0,1800,0,1800,0.0,0.0,0.0
26/05/2022,4.8,5.0,0.1,2.04%,5200,0,5200,0.0,0.0,0.0
25/05/2022,4.9,5.0,0.2,4.17%,4000,0,4000,0.0,0.0,0.0
24/05/2022,4.9,4.7,-0.2,-4.08%,200,0,200,0.0,0.0,0.0
23/05/2022,4.9,4.9,0.0,0,300,0,300,0.0,0.0,0.0
20/05/2022,4.9,4.9,0.0,0,6500,0,6500,0.0,0.0,0.0
19/05/2022,4.9,4.9,0.0,0,4000,0,4000,0.02,0.0,0.01956
18/05/2022,4.2,4.9,0.6,13.95%,8700,0,8700,0.04,0.0,0.0424
17/05/2022,4.7,4.2,-0.5,-10.64%,2100,0,2100,0.01,0.0,0.00912
16/05/2022,5.4,4.7,-0.7,-12.96%,53800,0,53800,0.25,0.0,0.25311
13/05/2022,5.3,5.7,0.0,0,6900,0,6900,0.04,0.0,0.03722
12/05/2022,5.7,5.8,-0.2,-3.33%,1906,0,1900,0.01,0.0,0.0109
11/05/2022,6.0,6.0,0.0,0,1400,0,1400,0.01,0.0,0.0084
10/05/2022,5.8,6.0,0.7,13.21%,11900,0,11900,0.07,0.0,0.07127
09/05/2022,5.3,5.7,-0.1,-1.72%,14119,0,14100,0.08,0.0,0.07511
06/05/2022,6.1,6.1,-0.3,-4.69%,7340,0,7300,0.04,0.0,0.04253
05/05/2022,6.4,6.4,0.1,1.59%,300,0,300,0.0,0.0,0.00192
04/05/2022,6.1,6.5,0.0,0,9200,0,9200,0.06,0.0,0.05766
29/04/2022,6.1,6.5,0.0,0,2322,0,2300,0.02,0.0,0.01506
28/04/2022,6.3,6.5,0.4,6.56%,6901,0,6900,0.04,0.0,0.04481
27/04/2022,6.2,6.1,0.0,0,2200,0,2200,0.01,0.0,0.01341
26/04/2022,5.8,6.1,0.3,5.17%,3498,0,3400,0.02,0.0,0.02115
25/04/2022,5.8,5.8,0.0,0,1,0,0,0.0,0.0,1e-05
22/04/2022,6.1,5.9,0.0,0,3200,0,3200,0.02,0.0,0.0184
21/04/2022,5.9,5.8,-0.1,-1.69%,23540,0,23500,0.14,0.0,0.13941
20/04/2022,6.4,6.2,-0.2,-3.13%,13500,0,13500,0.08,0.0,0.08007
19/04/2022,6.6,6.6,0.0,0,2700,0,2700,0.02,0.0,0.01717
18/04/2022,7.0,6.7,-0.4,-5.63%,7800,0,7800,0.05,0.0,0.05138
15/04/2022,7.0,7.0,0.0,0,8701,0,8700,0.06,0.0,0.06149
14/04/2022,6.9,7.0,-0.1,-1.41%,13600,0,13600,0.09,0.0,0.0949
13/04/2022,7.1,7.1,-0.1,-1.39%,13159,0,13100,0.09,0.0,0.09303
12/04/2022,7.4,7.1,-0.4,-5.33%,24700,0,24700,0.18,0.0,0.17849
08/04/2022,8.5,7.5,-1.0,-11.76%,70300,0,70300,0.53,0.0,0.52807
07/04/2022,8.5,8.3,0.4,5.06%,44162,0,44100,0.38,0.0,0.37746
06/04/2022,7.5,8.3,1.0,13.70%,66359,0,66300,0.53,0.0,0.52633
05/04/2022,7.3,7.5,0.1,1.35%,92900,0,92900,0.68,0.0,0.67975
04/04/2022,7.6,7.4,0.0,0,31042,0,31000,0.23,0.0,0.22969
01/04/2022,7.4,7.4,0.0,0,20630,0,20600,0.15,0.0,0.15179
31/03/2022,7.5,7.4,-0.1,-1.33%,6701,0,6700,0.05,0.0,0.04985
30/03/2022,7.5,7.5,0.0,0,7200,0,7200,0.05,0.0,0.0539
29/03/2022,7.8,7.5,0.1,1.35%,1900,0,1900,0.01,0.0,0.01434
28/03/2022,7.5,7.7,0.2,2.67%,2400,0,2400,0.02,0.0,0.01771
25/03/2022,7.9,7.8,0.0,0,11417,0,11400,0.09,0.0,0.0854
24/03/2022,7.7,7.9,0.3,3.95%,31900,0,31900,0.25,0.0,0.24885
23/03/2022,7.6,7.6,0.0,0,8700,0,8700,0.07,0.0,0.06593
22/03/2022,7.7,7.6,0.0,0,37500,0,37500,0.29,0.0,0.28534
