Ngày,Mở cửa,Đóng cửa,Thay đổi,% Thay đổi,KLGD khớp lệnh,KLGD thỏa thuận,KLGD tổng cộng,GTGD khớp lệnh (tỷ),GTGD thỏa thuận (tỷ),GTGD tổng cộng (tỷ)
17/06/2022,5.7,5.7,-0.9,-13.64%,100,0,100,0.0,0.0,0.0
16/06/2022,6.6,6.6,-0.2,-2.94%,200,0,200,0.0,0.0,0.0
15/06/2022,6.8,6.8,0.0,0,0,0,0,0.0,0.0,0.0
14/06/2022,6.8,6.8,0.6,9.68%,300,0,300,0.0,0.0,0.0
13/06/2022,6.2,6.2,0.0,0,200,0,200,0.0,0.0,0.0
10/06/2022,6.2,6.2,0.0,0,400,0,400,0.0,0.0,0.0
09/06/2022,6.2,6.2,0.0,0,0,0,0,0.0,0.0,0.0
08/06/2022,6.2,6.2,0.0,0,0,0,0,0.0,0.0,0.0
07/06/2022,6.2,6.2,0.0,0,200,0,200,0.0,0.0,0.0
06/06/2022,6.2,6.2,-0.1,-1.59%,400,0,400,0.0,0.0,0.0
03/06/2022,6.3,6.2,-0.1,-1.59%,1200,0,1200,0.0,0.0,0.0
02/06/2022,6.3,6.3,0.1,1.61%,200,0,200,0.0,0.0,0.0
01/06/2022,6.2,6.2,-0.3,-4.62%,600,0,600,0.0,0.0,0.0
31/05/2022,6.2,6.9,0.7,11.29%,2300,0,2300,0.0,0.0,0.0
30/05/2022,6.2,6.2,0.0,0,0,0,0,0.0,0.0,0.0
27/05/2022,6.1,6.4,0.4,6.67%,800,0,800,0.0,0.0,0.0
26/05/2022,6.0,6.0,0.0,0,0,0,0,0.0,0.0,0.0
25/05/2022,6.0,6.0,-0.4,-6.25%,400,0,400,0.0,0.0,0.0
24/05/2022,6.4,6.4,0.0,0,0,0,0,0.0,0.0,0.0
23/05/2022,6.4,6.4,0.0,0,0,0,0,0.0,0.0,0.0
20/05/2022,6.2,6.8,-0.1,-1.45%,400,0,400,0.0,0.0,0.0
19/05/2022,6.9,6.9,0.8,13.11%,200,0,200,0.0,0.0,0.00138
18/05/2022,6.1,6.1,0.0,0,1000,0,1000,0.01,0.0,0.0061
17/05/2022,6.1,6.1,0.0,0,0,0,0,0.0,0.0,0.0
16/05/2022,6.1,6.1,-0.9,-12.86%,400,0,400,0.0,0.0,0.00244
13/05/2022,7.0,7.0,0.0,0,0,0,0,0.0,0.0,0.0
12/05/2022,7.0,7.0,0.0,0,0,0,0,0.0,0.0,0.0
11/05/2022,7.0,7.0,0.0,0,0,0,0,0.0,0.0,0.0
10/05/2022,7.0,7.0,0.7,11.11%,100,0,100,0.0,0.0,0.0007
09/05/2022,7.4,6.1,-0.4,-6.15%,15400,0,15400,0.1,0.0,0.09663
06/05/2022,6.5,6.5,0.0,0,0,0,0,0.0,0.0,0.0
05/05/2022,6.5,6.5,0.0,0,200,0,200,0.0,0.0,0.0013
04/05/2022,6.5,6.5,0.0,0,100,0,100,0.0,0.0,0.00065
29/04/2022,6.5,6.5,-0.6,-8.45%,100,0,100,0.0,0.0,0.00065
28/04/2022,7.1,7.0,0.5,7.69%,700,0,700,0.0,0.0,0.00495
27/04/2022,6.2,7.0,0.8,12.90%,1100,0,1100,0.01,0.0,0.00717
26/04/2022,6.2,6.2,0.0,0,0,0,0,0.0,0.0,0.0
25/04/2022,6.2,6.2,0.0,0,0,0,0,0.0,0.0,0.0
22/04/2022,6.2,6.2,-0.7,-10.14%,6800,0,6800,0.04,0.0,0.0422
21/04/2022,6.8,7.4,0.6,8.82%,600,0,600,0.0,0.0,0.00414
20/04/2022,5.8,7.4,0.8,12.12%,700,0,700,0.0,0.0,0.00479
19/04/2022,6.7,6.6,-0.7,-9.59%,27500,0,27500,0.18,0.0,0.18152
18/04/2022,7.3,7.3,0.0,0,0,0,0,0.0,0.0,0.0
15/04/2022,7.3,7.3,0.0,0,43,0,0,0.0,0.0,0.00031
14/04/2022,7.3,7.5,0.4,5.63%,2089,0,2000,0.02,0.0,0.01532
13/04/2022,7.1,7.2,0.0,0,2300,0,2300,0.02,0.0,0.01635
12/04/2022,7.2,7.2,-0.5,-6.49%,100,0,100,0.0,0.0,0.00072
