Ngày,Mở cửa,Đóng cửa,Thay đổi,% Thay đổi,KLGD khớp lệnh,KLGD thỏa thuận,KLGD tổng cộng,GTGD khớp lệnh (tỷ),GTGD thỏa thuận (tỷ),GTGD tổng cộng (tỷ)
17/06/2022,3.8,3.6,-0.2,-5.26%,34500,0,34500,0.0,0.0,0.0
16/06/2022,3.7,3.8,-0.2,-5.00%,10800,0,10800,0.0,0.0,0.0
15/06/2022,4.1,3.9,-0.1,-2.50%,8500,0,8500,0.0,0.0,0.0
14/06/2022,4.4,4.1,0.2,5.13%,1300,0,1300,0.0,0.0,0.0
13/06/2022,4.0,4.0,-0.1,-2.44%,95800,0,95800,0.0,0.0,0.0
10/06/2022,4.1,4.1,-0.2,-4.65%,14900,0,14900,0.0,0.0,0.0
09/06/2022,4.3,4.3,0.2,4.88%,4200,0,4200,0.0,0.0,0.0
08/06/2022,4.0,4.1,0.1,2.50%,65900,0,65900,0.0,0.0,0.0
07/06/2022,4.1,4.0,-0.2,-4.76%,33400,0,33400,0.0,0.0,0.0
06/06/2022,4.3,4.2,-0.2,-4.55%,27000,0,27000,0.0,0.0,0.0
03/06/2022,4.3,4.3,0.0,0,54200,0,54200,0.0,0.0,0.0
02/06/2022,4.2,4.2,-0.2,-4.55%,30800,0,30800,0.0,0.0,0.0
01/06/2022,4.3,4.3,-0.2,-4.44%,39100,0,39100,0.0,0.0,0.0
31/05/2022,4.6,4.5,0.0,0,17900,0,17900,0.0,0.0,0.0
30/05/2022,4.5,4.6,0.1,2.22%,36600,0,36600,0.0,0.0,0.0
27/05/2022,4.6,4.6,0.1,2.22%,9700,0,9700,0.0,0.0,0.0
26/05/2022,4.6,4.6,-0.1,-2.13%,42800,0,42800,0.0,0.0,0.0
25/05/2022,4.6,4.7,0.2,4.44%,13000,0,13000,0.0,0.0,0.0
24/05/2022,4.9,4.8,0.2,4.35%,32700,0,32700,0.0,0.0,0.0
23/05/2022,4.7,4.7,0.0,0,10900,0,10900,0.0,0.0,0.0
20/05/2022,4.9,4.8,-0.1,-2.04%,64700,0,64700,0.0,0.0,0.0
19/05/2022,4.8,4.8,-0.3,-5.88%,12200,0,12200,0.06,0.0,0.05984
18/05/2022,5.2,5.0,0.1,2.04%,11604,0,11600,0.06,0.0,0.05867
17/05/2022,4.6,5.0,0.2,4.17%,38410,0,38400,0.19,0.0,0.18815
16/05/2022,4.5,4.7,0.2,4.44%,72900,0,72900,0.35,0.0,0.34938
13/05/2022,4.4,4.4,-0.5,-10.20%,15100,0,15100,0.07,0.0,0.06808
12/05/2022,5.0,4.5,-0.3,-6.25%,75305,0,75300,0.37,0.0,0.3722
11/05/2022,5.0,4.8,0.2,4.35%,23200,0,23200,0.11,0.0,0.11133
10/05/2022,4.5,5.0,0.1,2.04%,42200,0,42200,0.19,0.0,0.19242
09/05/2022,5.1,4.5,-0.7,-13.46%,93005,0,93000,0.46,0.0,0.45957
06/05/2022,5.8,5.1,-0.8,-13.56%,245800,0,245800,1.29,0.0,1.28728
05/05/2022,5.9,5.9,-0.1,-1.67%,37400,0,37400,0.22,0.0,0.22049
04/05/2022,6.2,6.0,-0.2,-3.23%,27400,0,27400,0.17,0.0,0.16574
29/04/2022,6.2,6.1,-0.1,-1.61%,56800,0,56800,0.35,0.0,0.34957
28/04/2022,6.3,6.2,0.2,3.33%,4606,0,4600,0.03,0.0,0.02856
27/04/2022,6.0,6.2,0.2,3.33%,10000,0,10000,0.06,0.0,0.06031
26/04/2022,5.9,6.0,-0.2,-3.23%,25200,0,25200,0.15,0.0,0.1506
25/04/2022,6.0,6.2,0.1,1.64%,41600,0,41600,0.26,0.0,0.25647
22/04/2022,6.0,6.0,0.1,1.69%,55600,0,55600,0.34,0.0,0.33775
21/04/2022,6.3,6.0,-0.6,-9.09%,53406,0,53400,0.32,0.0,0.31771
20/04/2022,6.6,6.5,-0.2,-2.99%,65532,0,65500,0.43,0.0,0.43072
19/04/2022,6.8,6.8,0.0,0,71600,0,71600,0.48,0.0,0.47716
18/04/2022,6.9,6.8,-0.3,-4.23%,106500,0,106500,0.72,0.0,0.72389
15/04/2022,7.1,7.1,-0.1,-1.39%,27807,0,27800,0.2,0.0,0.1977
14/04/2022,7.2,7.3,0.2,2.82%,4400,0,4400,0.03,0.0,0.03179
13/04/2022,7.1,7.3,0.3,4.29%,70420,0,70400,0.5,0.0,0.50284
12/04/2022,6.9,7.0,0.0,0,42300,0,42300,0.3,0.0,0.29798
08/04/2022,7.1,6.9,-0.3,-4.17%,49400,0,49400,0.35,0.0,0.34606
07/04/2022,7.4,7.2,-0.1,-1.37%,66300,0,66300,0.48,0.0,0.47987
06/04/2022,7.4,7.2,-0.2,-2.70%,28800,0,28800,0.21,0.0,0.20961
05/04/2022,7.5,7.4,-0.1,-1.33%,96000,0,96000,0.71,0.0,0.70852
04/04/2022,7.1,7.5,0.7,10.29%,291304,0,291300,2.18,0.0,2.17743
01/04/2022,6.8,7.1,0.1,1.43%,143700,0,143700,0.98,0.0,0.98003
31/03/2022,7.3,7.0,-0.2,-2.78%,68200,0,68200,0.48,0.0,0.47996
30/03/2022,7.2,7.1,-0.3,-4.05%,149500,0,149500,1.08,0.0,1.0786
29/03/2022,7.3,7.4,0.1,1.37%,80600,0,80600,0.59,0.0,0.59314
28/03/2022,7.5,7.2,-0.1,-1.37%,175622,0,175600,1.28,0.0,1.2828
25/03/2022,7.3,7.4,0.0,0,88500,0,88500,0.65,0.0,0.64925
24/03/2022,7.4,7.4,0.0,0,67205,0,67200,0.49,0.0,0.49409
23/03/2022,7.5,7.4,0.1,1.37%,53806,0,53800,0.4,0.0,0.39663
