Ngày,Mở cửa,Đóng cửa,Thay đổi,% Thay đổi,KLGD khớp lệnh,KLGD thỏa thuận,KLGD tổng cộng,GTGD khớp lệnh (tỷ),GTGD thỏa thuận (tỷ),GTGD tổng cộng (tỷ)
17/06/2022,25.75,24.75,-1.0,-3.88%,6320,0,6320,0.0,0.0,0.0
16/06/2022,25.1,25.75,0.85,3.41%,5080,0,5080,0.0,0.0,0.0
15/06/2022,25.0,24.9,-0.5,-1.97%,8200,0,8200,0.0,0.0,0.0
14/06/2022,25.6,25.4,-0.2,-0.78%,5140,0,5140,0.0,0.0,0.0
13/06/2022,26.0,25.6,-1.2,-4.48%,8570,0,8570,0.0,0.0,0.0
10/06/2022,27.0,26.8,-0.2,-0.74%,3310,0,3310,0.0,0.0,0.0
09/06/2022,27.85,27.0,-0.5,-1.82%,5060,0,5060,0.0,0.0,0.0
08/06/2022,26.5,27.5,1.0,3.77%,13370,0,13370,0.0,0.0,0.0
07/06/2022,26.75,26.5,-0.25,-0.93%,5580,0,5580,0.0,0.0,0.0
06/06/2022,25.6,26.75,-0.05,-0.19%,5470,0,5470,0.0,0.0,0.0
03/06/2022,26.3,26.8,0.2,0.75%,4340,0,4340,0.0,0.0,0.0
02/06/2022,26.8,26.6,-0.2,-0.75%,4930,0,4930,0.0,0.0,0.0
01/06/2022,26.75,26.8,0.0,0,7330,0,7330,0.0,0.0,0.0
31/05/2022,26.9,26.8,-0.1,-0.37%,5150,0,5150,0.0,0.0,0.0
30/05/2022,26.9,26.9,0.1,0.37%,4810,0,4810,0.0,0.0,0.0
27/05/2022,26.35,26.8,0.45,1.71%,3660,0,3660,0.0,0.0,0.0
26/05/2022,26.45,26.35,0.1,0.38%,7030,0,7030,0.0,0.0,0.0
25/05/2022,25.75,26.25,0.5,1.94%,7260,0,7260,0.0,0.0,0.0
24/05/2022,25.8,25.75,-0.05,-0.19%,12160,0,12160,0.0,0.0,0.0
23/05/2022,25.95,25.8,-0.15,-0.58%,3390,0,3390,0.0,0.0,0.0
20/05/2022,25.75,25.95,0.2,0.78%,3570,0,3570,0.0,0.0,0.0
19/05/2022,25.75,25.75,0.0,0,63400,0,6340,1.62,0.0,1.61862
