Ngày,Mở cửa,Đóng cửa,Thay đổi,% Thay đổi,KLGD khớp lệnh,KLGD thỏa thuận,KLGD tổng cộng,GTGD khớp lệnh (tỷ),GTGD thỏa thuận (tỷ),GTGD tổng cộng (tỷ)
17/06/2022,2.0,1.7,-0.2,-10.53%,33200,0,33200,0.0,0.0,0.0
16/06/2022,1.9,1.9,0.0,0,0,0,0,0.0,0.0,0.0
15/06/2022,1.9,1.9,0.0,0,0,0,0,0.0,0.0,0.0
14/06/2022,1.9,1.9,0.0,0,0,0,0,0.0,0.0,0.0
13/06/2022,1.9,1.9,0.0,0,0,0,0,0.0,0.0,0.0
10/06/2022,2.0,2.0,0.0,0,16700,0,16700,0.0,0.0,0.0
09/06/2022,2.0,2.0,0.0,0,0,0,0,0.0,0.0,0.0
08/06/2022,2.0,2.0,0.0,0,0,0,0,0.0,0.0,0.0
07/06/2022,2.0,2.0,0.0,0,0,0,0,0.0,0.0,0.0
06/06/2022,2.0,2.0,0.0,0,0,0,0,0.0,0.0,0.0
03/06/2022,2.1,2.1,0.1,5.00%,9500,0,9500,0.0,0.0,0.0
02/06/2022,2.0,2.0,0.0,0,0,0,0,0.0,0.0,0.0
01/06/2022,2.0,2.0,0.0,0,0,0,0,0.0,0.0,0.0
31/05/2022,2.0,2.0,0.0,0,0,0,0,0.0,0.0,0.0
30/05/2022,2.0,2.0,0.0,0,0,0,0,0.0,0.0,0.0
27/05/2022,1.7,2.1,0.2,10.53%,51300,0,51300,0.0,0.0,0.0
26/05/2022,1.9,1.9,0.0,0,0,0,0,0.0,0.0,0.0
25/05/2022,1.9,1.9,0.0,0,0,0,0,0.0,0.0,0.0
24/05/2022,1.9,1.9,0.0,0,0,0,0,0.0,0.0,0.0
23/05/2022,1.9,1.9,0.0,0,0,0,0,0.0,0.0,0.0
20/05/2022,1.7,1.9,0.2,11.76%,55300,0,55300,0.0,0.0,0.0
19/05/2022,1.7,1.7,0.0,0,0,0,0,0.0,0.0,0.0
18/05/2022,1.7,1.7,0.0,0,0,0,0,0.0,0.0,0.0
17/05/2022,1.7,1.7,0.0,0,0,0,0,0.0,0.0,0.0
16/05/2022,1.7,1.7,0.0,0,0,0,0,0.0,0.0,0.0
13/05/2022,1.9,1.7,-0.3,-15.00%,83100,0,83100,0.14,0.0,0.14258
12/05/2022,2.0,2.0,0.0,0,0,0,0,0.0,0.0,0.0
11/05/2022,2.0,2.0,0.0,0,0,0,0,0.0,0.0,0.0
10/05/2022,2.0,2.0,0.0,0,0,0,0,0.0,0.0,0.0
09/05/2022,2.0,2.0,0.0,0,0,0,0,0.0,0.0,0.0
06/05/2022,2.1,2.0,-0.3,-13.04%,79792,0,79700,0.16,0.0,0.16151
05/05/2022,2.3,2.3,0.0,0,0,0,0,0.0,0.0,0.0
04/05/2022,2.3,2.3,0.0,0,0,0,0,0.0,0.0,0.0
29/04/2022,2.1,2.4,0.2,9.09%,41891,0,41800,0.1,0.0,0.09595
28/04/2022,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
27/04/2022,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
26/04/2022,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
25/04/2022,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
22/04/2022,2.2,2.5,0.0,0,181900,0,181900,0.4,0.0,0.40354
21/04/2022,2.5,2.5,0.0,0,0,0,0,0.0,0.0,0.0
20/04/2022,2.5,2.5,0.0,0,0,0,0,0.0,0.0,0.0
19/04/2022,2.5,2.5,0.0,0,0,0,0,0.0,0.0,0.0
18/04/2022,2.5,2.5,0.0,0,0,0,0,0.0,0.0,0.0
15/04/2022,2.3,2.5,0.3,13.64%,144926,0,144800,0.36,0.0,0.35944
14/04/2022,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
13/04/2022,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
12/04/2022,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
08/04/2022,2.4,2.3,-0.1,-4.17%,93774,0,93600,0.21,0.0,0.20981
07/04/2022,2.4,2.4,0.0,0,0,0,0,0.0,0.0,0.0
