Ngày,Mở cửa,Đóng cửa,Thay đổi,% Thay đổi,KLGD khớp lệnh,KLGD thỏa thuận,KLGD tổng cộng,GTGD khớp lệnh (tỷ),GTGD thỏa thuận (tỷ),GTGD tổng cộng (tỷ)
17/06/2022,12.0,12.0,1.0,9.09%,2400,0,2400,0.0,0.0,0.0
16/06/2022,11.0,11.0,0.0,0,0,0,0,0.0,0.0,0.0
15/06/2022,11.0,11.0,0.0,0,500,0,500,0.0,0.0,0.0
14/06/2022,11.0,11.0,-1.0,-8.33%,1500,0,1500,0.0,0.0,0.0
13/06/2022,12.0,12.0,0.6,5.26%,1800,0,1800,0.0,0.0,0.0
10/06/2022,11.4,11.4,0.0,0,0,0,0,0.0,0.0,0.0
09/06/2022,11.4,11.4,-1.9,-14.29%,100,0,100,0.0,0.0,0.0
08/06/2022,13.3,13.3,0.0,0,0,0,0,0.0,0.0,0.0
07/06/2022,13.3,13.3,1.7,14.66%,200,0,200,0.0,0.0,0.0
06/06/2022,11.6,11.6,1.5,14.85%,1000,0,1000,0.0,0.0,0.0
03/06/2022,9.9,12.3,0.9,7.89%,700,0,700,0.0,0.0,0.0
02/06/2022,11.4,11.5,0.9,8.49%,500,0,500,0.0,0.0,0.0
01/06/2022,10.6,10.6,-0.1,-0.93%,100,0,100,0.0,0.0,0.0
31/05/2022,10.7,10.7,0.0,0,0,0,0,0.0,0.0,0.0
30/05/2022,10.7,10.7,0.0,0,0,0,0,0.0,0.0,0.0
27/05/2022,13.8,10.4,-1.6,-13.33%,2600,0,2600,0.0,0.0,0.0
26/05/2022,12.0,12.0,0.0,0,0,0,0,0.0,0.0,0.0
25/05/2022,12.0,12.0,0.0,0,0,0,0,0.0,0.0,0.0
24/05/2022,12.0,12.0,0.0,0,0,0,0,0.0,0.0,0.0
23/05/2022,12.0,12.0,0.0,0,0,0,0,0.0,0.0,0.0
20/05/2022,12.0,12.0,0.0,0,2000,0,2000,0.0,0.0,0.0
19/05/2022,12.0,12.0,0.0,0,1300,0,1300,0.02,0.0,0.0156
18/05/2022,12.0,12.0,0.0,0,5200,0,5200,0.06,0.0,0.0624
17/05/2022,12.0,12.0,0.0,0,0,0,0,0.0,0.0,0.0
16/05/2022,12.0,12.0,0.0,0,0,0,0,0.0,0.0,0.0
13/05/2022,12.0,12.0,0.0,0,0,0,0,0.0,0.0,0.0
12/05/2022,12.0,12.0,0.3,2.56%,4400,0,4400,0.05,0.0,0.0528
11/05/2022,11.7,11.7,0.0,0,0,0,0,0.0,0.0,0.0
10/05/2022,11.7,11.7,0.2,1.74%,100,0,100,0.0,0.0,0.00117
09/05/2022,11.5,11.5,0.0,0,0,0,0,0.0,0.0,0.0
06/05/2022,11.5,11.5,0.0,0,0,2000,0,0.0,0.0196,0.0196
05/05/2022,11.5,11.5,0.0,0,0,0,0,0.0,0.0,0.0
04/05/2022,11.5,11.5,0.0,0,0,0,0,0.0,0.0,0.0
29/04/2022,11.0,11.5,-1.4,-10.85%,2100,0,2100,0.02,0.0,0.0241
28/04/2022,12.9,12.9,0.0,0,0,0,0,0.0,0.0,0.0
27/04/2022,12.9,12.9,0.0,0,0,0,0,0.0,0.0,0.0
26/04/2022,12.9,12.9,0.0,0,0,0,0,0.0,0.0,0.0
25/04/2022,12.9,12.9,0.0,0,0,0,0,0.0,0.0,0.0
22/04/2022,12.9,12.9,0.0,0,0,0,0,0.0,0.0,0.0
21/04/2022,12.9,12.9,0.0,0,0,0,0,0.0,0.0,0.0
20/04/2022,12.9,12.9,0.0,0,0,0,0,0.0,0.0,0.0
19/04/2022,12.9,12.9,0.0,0,0,0,0,0.0,0.0,0.0
18/04/2022,12.9,12.9,0.0,0,0,0,0,0.0,0.0,0.0
15/04/2022,12.9,12.9,0.0,0,0,0,0,0.0,0.0,0.0
