Ngày,Mở cửa,Đóng cửa,Thay đổi,% Thay đổi,KLGD khớp lệnh,KLGD thỏa thuận,KLGD tổng cộng,GTGD khớp lệnh (tỷ),GTGD thỏa thuận (tỷ),GTGD tổng cộng (tỷ)
17/06/2022,3.5,3.3,-0.4,-10.81%,448500,0,448500,0.0,0.0,0.0
16/06/2022,3.4,3.6,-0.1,-2.70%,172700,0,172700,0.0,0.0,0.0
15/06/2022,3.8,3.6,-0.2,-5.26%,255300,0,255300,0.0,0.0,0.0
14/06/2022,3.8,3.8,-0.1,-2.56%,217100,0,217100,0.0,0.0,0.0
13/06/2022,4.1,3.8,-0.3,-7.32%,378500,0,378500,0.0,0.0,0.0
10/06/2022,4.2,4.2,-0.1,-2.33%,249000,0,249000,0.0,0.0,0.0
09/06/2022,4.2,4.2,0.0,0,121600,0,121600,0.0,0.0,0.0
08/06/2022,4.0,4.2,0.2,5.00%,175500,0,175500,0.0,0.0,0.0
07/06/2022,4.1,4.0,-0.2,-4.76%,310000,0,310000,0.0,0.0,0.0
06/06/2022,4.4,4.1,-0.3,-6.82%,433300,0,433300,0.0,0.0,0.0
03/06/2022,4.4,4.4,-0.1,-2.22%,219400,0,219400,0.0,0.0,0.0
02/06/2022,4.6,4.4,-0.2,-4.35%,319000,0,319000,0.0,0.0,0.0
01/06/2022,4.6,4.6,0.0,0,168400,0,168400,0.0,0.0,0.0
31/05/2022,4.7,4.6,0.0,0,337200,0,337200,0.0,0.0,0.0
30/05/2022,4.4,4.7,0.2,4.44%,482100,0,482100,0.0,0.0,0.0
27/05/2022,4.5,4.4,-0.1,-2.22%,338500,0,338500,0.0,0.0,0.0
26/05/2022,4.5,4.5,0.0,0,242200,0,242200,0.0,0.0,0.0
25/05/2022,4.5,4.5,0.1,2.27%,279200,0,279200,0.0,0.0,0.0
24/05/2022,4.5,4.5,0.0,0,171900,0,171900,0.0,0.0,0.0
23/05/2022,4.6,4.5,0.0,0,194600,0,194600,0.0,0.0,0.0
