Ngày,Mở cửa,Đóng cửa,Thay đổi,% Thay đổi,KLGD khớp lệnh,KLGD thỏa thuận,KLGD tổng cộng,GTGD khớp lệnh (tỷ),GTGD thỏa thuận (tỷ),GTGD tổng cộng (tỷ)
17/06/2022,1.6,1.4,-0.2,-12.50%,166600,0,166600,0.0,0.0,0.0
16/06/2022,1.6,1.6,0.0,0,0,0,0,0.0,0.0,0.0
15/06/2022,1.6,1.6,0.0,0,0,0,0,0.0,0.0,0.0
14/06/2022,1.6,1.6,0.0,0,0,0,0,0.0,0.0,0.0
13/06/2022,1.6,1.6,0.0,0,0,0,0,0.0,0.0,0.0
10/06/2022,1.7,1.5,-0.2,-11.76%,130900,0,130900,0.0,0.0,0.0
09/06/2022,1.7,1.7,0.0,0,0,0,0,0.0,0.0,0.0
08/06/2022,1.7,1.7,0.0,0,0,0,0,0.0,0.0,0.0
07/06/2022,1.7,1.7,0.0,0,0,0,0,0.0,0.0,0.0
06/06/2022,1.7,1.7,0.0,0,0,0,0,0.0,0.0,0.0
03/06/2022,2.0,1.7,-0.2,-10.53%,238500,0,238500,0.0,0.0,0.0
02/06/2022,1.9,1.9,0.0,0,0,0,0,0.0,0.0,0.0
01/06/2022,1.9,1.9,0.0,0,0,0,0,0.0,0.0,0.0
31/05/2022,1.9,1.9,0.0,0,0,0,0,0.0,0.0,0.0
30/05/2022,1.9,1.9,0.0,0,0,0,0,0.0,0.0,0.0
27/05/2022,2.0,1.9,-0.1,-5.00%,241000,0,241000,0.0,0.0,0.0
26/05/2022,2.0,2.0,0.0,0,0,0,0,0.0,0.0,0.0
25/05/2022,2.0,2.0,0.0,0,0,0,0,0.0,0.0,0.0
24/05/2022,2.0,2.0,0.0,0,0,0,0,0.0,0.0,0.0
23/05/2022,2.0,2.0,0.0,0,0,0,0,0.0,0.0,0.0
20/05/2022,2.0,1.9,-0.1,-5.00%,106700,0,106700,0.0,0.0,0.0
19/05/2022,2.0,2.0,0.0,0,0,0,0,0.0,0.0,0.0
18/05/2022,2.0,2.0,0.0,0,0,0,0,0.0,0.0,0.0
17/05/2022,2.0,2.0,0.0,0,0,0,0,0.0,0.0,0.0
16/05/2022,2.0,2.0,0.0,0,0,0,0,0.0,0.0,0.0
13/05/2022,2.2,1.9,-0.3,-13.64%,112041,0,112000,0.22,0.0,0.21934
12/05/2022,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
11/05/2022,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
10/05/2022,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
09/05/2022,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
06/05/2022,2.3,2.3,-0.1,-4.17%,116400,0,116400,0.26,0.0,0.2603
05/05/2022,2.4,2.4,0.0,0,0,0,0,0.0,0.0,0.0
04/05/2022,2.4,2.4,0.0,0,0,0,0,0.0,0.0,0.0
29/04/2022,2.3,2.6,0.3,13.04%,591638,0,591400,1.42,0.0,1.42207
28/04/2022,2.3,2.3,0.0,0,0,0,0,0.0,0.0,0.0
27/04/2022,2.3,2.3,0.0,0,0,0,0,0.0,0.0,0.0
26/04/2022,2.3,2.3,0.0,0,0,0,0,0.0,0.0,0.0
25/04/2022,2.3,2.3,0.0,0,0,0,0,0.0,0.0,0.0
22/04/2022,2.3,2.3,-0.4,-14.81%,258507,0,258500,0.59,0.0,0.59457
21/04/2022,2.7,2.7,0.0,0,0,0,0,0.0,0.0,0.0
20/04/2022,2.7,2.7,0.0,0,0,0,0,0.0,0.0,0.0
19/04/2022,2.7,2.7,0.0,0,0,0,0,0.0,0.0,0.0
18/04/2022,2.7,2.7,0.0,0,0,0,0,0.0,0.0,0.0
15/04/2022,3.0,2.6,-0.4,-13.33%,316931,0,316900,0.84,0.0,0.84088
14/04/2022,3.0,3.0,0.0,0,0,0,0,0.0,0.0,0.0
13/04/2022,3.0,3.0,0.0,0,0,0,0,0.0,0.0,0.0
12/04/2022,3.0,3.0,0.0,0,0,0,0,0.0,0.0,0.0
08/04/2022,3.2,3.0,-0.2,-6.25%,118615,0,118500,0.35,0.0,0.35447
07/04/2022,3.2,3.2,0.0,0,0,0,0,0.0,0.0,0.0
06/04/2022,3.2,3.2,0.0,0,0,0,0,0.0,0.0,0.0
05/04/2022,3.2,3.2,0.0,0,0,0,0,0.0,0.0,0.0
04/04/2022,3.2,3.2,0.0,0,0,0,0,0.0,0.0,0.0
01/04/2022,3.5,3.3,-0.2,-5.71%,533745,0,533600,1.71,0.0,1.71425
31/03/2022,3.5,3.5,0.0,0,0,0,0,0.0,0.0,0.0
30/03/2022,3.5,3.5,0.0,0,0,0,0,0.0,0.0,0.0
29/03/2022,3.5,3.5,0.0,0,0,0,0,0.0,0.0,0.0
28/03/2022,3.5,3.5,0.0,0,0,0,0,0.0,0.0,0.0
25/03/2022,3.2,3.6,0.4,12.50%,956924,0,956700,3.35,0.0,3.34954
24/03/2022,3.2,3.2,0.0,0,0,0,0,0.0,0.0,0.0
23/03/2022,3.2,3.2,0.0,0,0,0,0,0.0,0.0,0.0
22/03/2022,3.2,3.2,0.0,0,0,0,0,0.0,0.0,0.0
21/03/2022,3.2,3.2,0.0,0,0,0,0,0.0,0.0,0.0
18/03/2022,3.4,3.2,-0.1,-3.03%,382848,0,382700,1.23,0.0,1.22829
17/03/2022,3.3,3.3,0.0,0,0,0,0,0.0,0.0,0.0
16/03/2022,3.3,3.3,0.0,0,0,0,0,0.0,0.0,0.0
15/03/2022,3.3,3.3,0.0,0,0,0,0,0.0,0.0,0.0
14/03/2022,3.3,3.3,0.0,0,0,0,0,0.0,0.0,0.0
11/03/2022,3.5,3.1,0.0,0,1165882,0,1165800,3.89,0.0,3.89087
10/03/2022,3.1,3.1,0.0,0,0,0,0,0.0,0.0,0.0
09/03/2022,3.1,3.1,0.0,0,0,0,0,0.0,0.0,0.0
08/03/2022,3.1,3.1,0.0,0,0,0,0,0.0,0.0,0.0
07/03/2022,3.1,3.1,0.0,0,0,0,0,0.0,0.0,0.0
04/03/2022,3.1,3.1,0.4,14.81%,353260,0,353200,1.1,0.0,1.09511
03/03/2022,2.7,2.7,0.0,0,0,0,0,0.0,0.0,0.0
02/03/2022,2.7,2.7,0.0,0,0,0,0,0.0,0.0,0.0
01/03/2022,2.7,2.7,0.0,0,0,0,0,0.0,0.0,0.0
28/02/2022,2.7,2.7,0.0,0,0,0,0,0.0,0.0,0.0
25/02/2022,2.4,2.7,0.3,12.50%,779036,0,778900,2.08,0.0,2.08491
24/02/2022,2.4,2.4,0.0,0,0,0,0,0.0,0.0,0.0
23/02/2022,2.4,2.4,0.0,0,0,0,0,0.0,0.0,0.0
22/02/2022,2.4,2.4,0.0,0,0,0,0,0.0,0.0,0.0
21/02/2022,2.4,2.4,0.0,0,0,0,0,0.0,0.0,0.0
18/02/2022,2.4,2.5,0.2,8.70%,335711,0,335700,0.82,0.0,0.81641
17/02/2022,2.3,2.3,0.0,0,0,0,0,0.0,0.0,0.0
16/02/2022,2.3,2.3,0.0,0,0,0,0,0.0,0.0,0.0
15/02/2022,2.3,2.3,0.0,0,0,0,0,0.0,0.0,0.0
14/02/2022,2.3,2.3,0.0,0,0,0,0,0.0,0.0,0.0
11/02/2022,2.3,2.3,0.0,0,187874,0,187800,0.43,0.0,0.42832
10/02/2022,2.3,2.3,0.0,0,0,0,0,0.0,0.0,0.0
09/02/2022,2.3,2.3,0.0,0,0,0,0,0.0,0.0,0.0
08/02/2022,2.3,2.3,0.0,0,0,0,0,0.0,0.0,0.0
07/02/2022,2.3,2.3,0.0,0,0,0,0,0.0,0.0,0.0
28/01/2022,2.4,2.4,-0.2,-7.69%,325557,0,325500,0.75,0.0,0.75254
27/01/2022,2.6,2.6,0.0,0,0,0,0,0.0,0.0,0.0
26/01/2022,2.6,2.6,0.0,0,0,0,0,0.0,0.0,0.0
25/01/2022,2.6,2.6,0.0,0,0,0,0,0.0,0.0,0.0
24/01/2022,2.6,2.6,0.0,0,0,0,0,0.0,0.0,0.0
21/01/2022,2.7,2.5,0.0,0,268100,0,268100,0.69,0.0,0.68704
20/01/2022,2.5,2.5,0.0,0,0,0,0,0.0,0.0,0.0
19/01/2022,2.5,2.5,0.0,0,0,0,0,0.0,0.0,0.0
18/01/2022,2.5,2.5,0.0,0,0,0,0,0.0,0.0,0.0
17/01/2022,2.5,2.5,0.0,0,0,0,0,0.0,0.0,0.0
14/01/2022,2.8,2.6,-0.2,-7.14%,808190,0,808100,1.99,0.0,1.99409
13/01/2022,2.8,2.8,0.0,0,0,0,0,0.0,0.0,0.0
12/01/2022,2.8,2.8,0.0,0,0,0,0,0.0,0.0,0.0
11/01/2022,2.8,2.8,0.0,0,0,0,0,0.0,0.0,0.0
10/01/2022,2.8,2.8,0.0,0,0,0,0,0.0,0.0,0.0
07/01/2022,2.8,2.8,0.3,12.00%,178938,0,178900,0.5,0.0,0.49953
06/01/2022,2.5,2.5,0.0,0,0,0,0,0.0,0.0,0.0
05/01/2022,2.5,2.5,0.0,0,0,0,0,0.0,0.0,0.0
04/01/2022,2.5,2.5,0.0,0,0,0,0,0.0,0.0,0.0
31/12/2021,2.8,2.8,0.0,0,554800,0,554700,1.4,0.0,1.39691
30/12/2021,2.8,2.8,0.0,0,0,0,0,0.0,0.0,0.0
29/12/2021,2.8,2.8,0.0,0,0,0,0,0.0,0.0,0.0
28/12/2021,2.8,2.8,0.0,0,0,0,0,0.0,0.0,0.0
27/12/2021,2.8,2.8,0.0,0,0,0,0,0.0,0.0,0.0
24/12/2021,3.2,2.8,-0.4,-12.50%,312210,0,312100,0.87,0.0,0.87499
23/12/2021,3.2,3.2,0.0,0,0,0,0,0.0,0.0,0.0
22/12/2021,3.2,3.2,0.0,0,0,0,0,0.0,0.0,0.0
21/12/2021,3.2,3.2,0.0,0,0,0,0,0.0,0.0,0.0
20/12/2021,3.2,3.2,0.0,0,0,0,0,0.0,0.0,0.0
17/12/2021,3.6,3.2,-0.5,-13.51%,718350,0,718300,2.33,0.0,2.32729
16/12/2021,3.7,3.7,0.0,0,0,0,0,0.0,0.0,0.0
15/12/2021,3.7,3.7,0.0,0,0,0,0,0.0,0.0,0.0
14/12/2021,3.7,3.7,0.0,0,0,0,0,0.0,0.0,0.0
13/12/2021,3.7,3.7,0.0,0,0,0,0,0.0,0.0,0.0
10/12/2021,4.2,3.2,-0.5,-13.51%,1817085,0,1816700,6.68,0.0,6.67628
09/12/2021,3.7,3.7,0.0,0,0,0,0,0.0,0.0,0.0
08/12/2021,3.7,3.7,0.0,0,0,0,0,0.0,0.0,0.0
07/12/2021,3.7,3.7,0.0,0,0,0,0,0.0,0.0,0.0
06/12/2021,3.7,3.7,0.0,0,0,0,0,0.0,0.0,0.0
03/12/2021,3.6,3.7,0.4,12.12%,764136,0,764000,2.82,0.0,2.82183
02/12/2021,3.3,3.3,0.0,0,0,0,0,0.0,0.0,0.0
01/12/2021,3.3,3.3,0.0,0,0,0,0,0.0,0.0,0.0
30/11/2021,3.3,3.3,0.0,0,0,0,0,0.0,0.0,0.0
29/11/2021,3.3,3.3,0.0,0,0,0,0,0.0,0.0,0.0
26/11/2021,3.3,3.3,0.4,13.79%,1670288,0,1670200,5.46,0.0,5.46361
25/11/2021,2.9,2.9,0.0,0,0,0,0,0.0,0.0,0.0
