Ngày,Mở cửa,Đóng cửa,Thay đổi,% Thay đổi,KLGD khớp lệnh,KLGD thỏa thuận,KLGD tổng cộng,GTGD khớp lệnh (tỷ),GTGD thỏa thuận (tỷ),GTGD tổng cộng (tỷ)
17/06/2022,28.5,27.9,-0.6,-2.11%,2130,0,2130,0.0,0.0,0.0
16/06/2022,27.8,28.5,0.7,2.52%,900,0,900,0.0,0.0,0.0
15/06/2022,28.8,27.8,-1.0,-3.47%,2270,0,2270,0.0,0.0,0.0
14/06/2022,29.2,28.8,-0.55,-1.87%,950,0,950,0.0,0.0,0.0
13/06/2022,29.4,29.35,-0.15,-0.51%,3630,0,3630,0.0,0.0,0.0
10/06/2022,30.0,29.5,-0.5,-1.67%,2290,0,2290,0.0,0.0,0.0
09/06/2022,30.0,30.0,0.0,0,2050,0,2050,0.0,0.0,0.0
08/06/2022,29.9,30.0,0.1,0.33%,2010,0,2010,0.0,0.0,0.0
07/06/2022,29.9,29.9,0.0,0,3100,0,3100,0.0,0.0,0.0
06/06/2022,29.5,29.9,0.4,1.36%,5200,0,5200,0.0,0.0,0.0
03/06/2022,29.45,29.5,0.05,0.17%,1330,0,1330,0.0,0.0,0.0
02/06/2022,29.4,29.45,0.1,0.34%,3840,0,3840,0.0,0.0,0.0
01/06/2022,29.1,29.35,-0.05,-0.17%,5630,0,5630,0.0,0.0,0.0
31/05/2022,29.75,29.4,-0.4,-1.34%,1910,0,1910,0.0,0.0,0.0
30/05/2022,29.9,29.8,-0.05,-0.17%,2460,0,2460,0.0,0.0,0.0
27/05/2022,30.65,29.85,-0.05,-0.17%,2510,0,2510,0.0,0.0,0.0
26/05/2022,30.9,29.9,0.0,0,1900,0,1900,0.0,0.0,0.0
25/05/2022,29.9,29.9,0.0,0,4340,0,4340,0.0,0.0,0.0
24/05/2022,30.0,29.9,-0.1,-0.33%,560,0,560,0.0,0.0,0.0
23/05/2022,30.0,30.0,0.0,0,730,0,730,0.0,0.0,0.0
20/05/2022,30.2,30.0,-0.2,-0.66%,6400,0,6400,0.0,0.0,0.0
19/05/2022,29.7,30.2,0.2,0.67%,24500,0,2450,0.73,0.0,0.73477
18/05/2022,29.95,30.0,0.05,0.17%,6700,0,670,0.2,0.0,0.20093
17/05/2022,30.25,29.95,0.75,2.57%,10800,0,1080,0.31,0.0,0.31252
16/05/2022,29.0,29.2,0.2,0.69%,21400,0,2140,0.63,0.0,0.62787
13/05/2022,29.75,29.0,-0.3,-1.02%,17300,0,1450,0.51,0.0,0.5051
12/05/2022,30.4,29.3,-1.1,-3.62%,9200,0,920,0.27,0.0,0.27479
11/05/2022,30.1,30.4,-1.0,-3.18%,3600,0,360,0.11,0.0,0.11032
10/05/2022,30.0,31.4,1.4,4.67%,18100,0,1810,0.55,0.0,0.54713
09/05/2022,31.1,30.0,-1.1,-3.54%,65100,0,6510,1.97,0.0,1.9663
06/05/2022,31.0,31.1,-0.8,-2.51%,75500,0,7550,2.4,0.0,2.40174
05/05/2022,31.5,31.9,0.4,1.27%,6000,0,600,0.19,0.0,0.19109
04/05/2022,31.3,31.5,-0.3,-0.94%,35100,0,3510,1.11,0.0,1.11365
29/04/2022,31.4,31.8,0.4,1.27%,27400,0,2740,0.86,0.0,0.86131
28/04/2022,31.4,31.4,0.0,0,11800,0,1180,0.37,0.0,0.36916
27/04/2022,30.55,31.4,0.85,2.78%,35800,0,3580,1.13,0.0,1.12955
26/04/2022,30.0,30.0,-0.8,-2.60%,31700,0,3170,0.96,0.0,0.96217
25/04/2022,30.75,30.8,0.05,0.16%,37200,0,3720,1.14,0.0,1.14286
22/04/2022,31.25,30.7,-0.55,-1.76%,46800,0,4340,1.46,0.0,1.45777
21/04/2022,32.0,31.25,-0.75,-2.34%,55100,0,5510,1.72,0.0,1.72416
20/04/2022,32.0,32.0,-0.5,-1.54%,47100,0,4710,1.51,0.0,1.5145
19/04/2022,32.4,32.5,0.1,0.31%,35700,0,3350,1.16,0.0,1.15784
18/04/2022,33.2,32.4,-0.8,-2.41%,33000,20000,3300,1.07,0.71,1.78337
15/04/2022,32.8,33.2,0.4,1.22%,3700,0,370,0.12,0.0,0.12219
14/04/2022,33.0,32.8,-0.3,-0.91%,29000,0,2900,0.96,0.0,0.95838
13/04/2022,32.6,33.1,0.5,1.53%,46700,0,4670,1.52,0.0,1.52179
12/04/2022,33.4,32.6,-0.8,-2.40%,112900,0,11290,3.7,0.0,3.70232
08/04/2022,34.4,33.3,-1.1,-3.20%,65300,0,5530,2.21,0.0,2.21427
07/04/2022,34.4,34.4,0.0,0,51400,0,5140,1.76,0.0,1.76194
06/04/2022,34.05,34.5,-0.7,-1.99%,233700,0,21840,8.1,0.0,8.10258
05/04/2022,36.0,35.2,-0.8,-2.22%,88500,0,8850,3.13,0.0,3.12841
04/04/2022,36.5,36.0,0.8,2.27%,133100,0,13310,4.79,0.0,4.78759
01/04/2022,32.95,35.2,2.3,6.99%,567900,0,52410,19.41,0.0,19.41442
31/03/2022,32.85,32.9,0.05,0.15%,212100,0,21210,6.98,0.0,6.98367
30/03/2022,32.7,33.0,0.0,0,37300,0,3690,1.23,0.0,1.22515
29/03/2022,33.0,33.0,0.0,0,69800,0,6980,2.3,0.0,2.29965
28/03/2022,33.1,33.0,-0.1,-0.30%,78600,0,7790,2.6,0.0,2.59506
25/03/2022,33.0,33.15,0.15,0.45%,18400,0,1790,0.61,0.0,0.60829
24/03/2022,32.85,33.0,0.05,0.15%,26600,0,2650,0.88,0.0,0.8769
23/03/2022,33.1,32.95,-0.15,-0.45%,27200,0,2560,0.9,0.0,0.89817
22/03/2022,33.15,33.05,0.15,0.46%,45700,0,4540,1.51,0.0,1.51245
21/03/2022,32.95,32.95,0.0,0,21800,0,2170,0.72,0.0,0.71563
18/03/2022,33.2,32.95,-0.25,-0.75%,109500,0,10950,3.56,0.0,3.5607
15/03/2022,32.6,33.15,-0.05,-0.15%,71600,0,7160,2.33,0.0,2.32506
14/03/2022,34.2,33.2,-1.0,-2.92%,35900,0,3590,1.19,0.0,1.1943
11/03/2022,34.6,34.2,-0.4,-1.16%,28600,0,2860,0.98,0.0,0.97802
10/03/2022,33.6,34.6,1.0,2.98%,205700,0,20570,7.16,0.0,7.15674
09/03/2022,32.75,33.6,0.25,0.75%,81500,0,8150,2.71,0.0,2.71434
08/03/2022,34.2,33.35,-1.65,-4.71%,58300,0,5830,1.96,0.0,1.96009
07/03/2022,34.45,35.0,0.65,1.89%,86100,0,8610,2.97,0.0,2.96536
04/03/2022,35.4,34.35,0.65,1.93%,60700,0,6070,2.1,0.0,2.10003
03/03/2022,32.35,33.7,1.35,4.17%,129300,0,12930,4.29,0.0,4.29109
02/03/2022,32.5,32.35,-0.05,-0.15%,23700,0,2370,0.76,0.0,0.76156
01/03/2022,32.4,32.4,0.0,0,21500,0,2150,0.7,0.0,0.69786
28/02/2022,32.3,32.4,0.2,0.62%,19800,0,1980,0.64,0.0,0.64143
25/02/2022,32.0,32.2,0.2,0.63%,15400,0,1540,0.5,0.0,0.49542
24/02/2022,32.35,32.0,-0.35,-1.08%,15100,0,1510,0.48,0.0,0.48373
23/02/2022,32.8,32.35,0.1,0.31%,19800,0,1980,0.64,0.0,0.64348
22/02/2022,32.2,32.25,-0.1,-0.31%,24100,0,2410,0.78,0.0,0.77866
21/02/2022,31.9,32.35,0.1,0.31%,32800,0,3280,1.06,0.0,1.05695
18/02/2022,32.65,32.25,0.05,0.16%,7600,0,760,0.24,0.0,0.24425
17/02/2022,32.0,32.2,0.2,0.63%,11500,0,1150,0.37,0.0,0.37197
16/02/2022,31.65,32.0,0.4,1.27%,17100,0,1110,0.55,0.0,0.55026
15/02/2022,31.6,31.6,0.0,0,2600,0,260,0.08,0.0,0.08216
14/02/2022,31.9,31.6,-0.3,-0.94%,8500,0,850,0.27,0.0,0.26977
11/02/2022,32.0,31.9,-0.1,-0.31%,2400,0,240,0.08,0.0,0.07658
10/02/2022,32.9,32.0,0.0,0,7300,0,730,0.23,0.0,0.23375
09/02/2022,31.8,32.0,0.0,0,10200,0,1020,0.33,0.0,0.32585
08/02/2022,32.95,32.0,-0.4,-1.23%,4600,0,460,0.15,0.0,0.14769
07/02/2022,32.0,32.4,0.4,1.25%,5300,0,530,0.17,0.0,0.17079
28/01/2022,32.0,32.0,0.0,0,2300,0,230,0.07,0.0,0.07306
27/01/2022,32.0,32.0,0.0,0,300,0,30,0.01,0.0,0.0095
26/01/2022,30.5,32.0,1.5,4.92%,12100,0,1210,0.38,0.0,0.37567
25/01/2022,32.0,30.5,-1.5,-4.69%,11600,0,1160,0.36,0.0,0.36362
24/01/2022,32.9,32.0,-0.9,-2.74%,700,0,70,0.02,0.0,0.02285
21/01/2022,33.0,32.9,0.6,1.86%,5800,0,580,0.19,0.0,0.19082
20/01/2022,31.95,32.3,0.35,1.10%,3800,0,380,0.12,0.0,0.12307
19/01/2022,31.1,31.3,-0.7,-2.19%,6200,0,610,0.2,0.0,0.19698
18/01/2022,33.55,32.0,0.0,0,1800,0,170,0.06,0.0,0.05891
17/01/2022,32.9,32.0,-0.9,-2.74%,12000,0,1200,0.38,0.0,0.3846
14/01/2022,32.5,32.9,0.4,1.23%,10800,0,1080,0.35,0.0,0.349
13/01/2022,32.8,32.5,-0.3,-0.91%,21900,0,2190,0.71,0.0,0.7132
12/01/2022,33.1,32.8,-0.3,-0.91%,17600,0,1760,0.58,0.0,0.57775
11/01/2022,33.4,33.1,-0.3,-0.90%,17000,0,1700,0.56,0.0,0.56485
10/01/2022,33.05,33.4,0.35,1.06%,44100,0,4410,1.47,0.0,1.47395
07/01/2022,33.35,33.05,-0.3,-0.90%,18100,0,1810,0.6,0.0,0.60045
06/01/2022,33.4,33.35,-0.05,-0.15%,38200,0,3820,1.26,0.0,1.26128
