Ngày,Mở cửa,Đóng cửa,Thay đổi,% Thay đổi,KLGD khớp lệnh,KLGD thỏa thuận,KLGD tổng cộng,GTGD khớp lệnh (tỷ),GTGD thỏa thuận (tỷ),GTGD tổng cộng (tỷ)
17/06/2022,21.1,21.1,0.0,0,0,0,0,0.0,0.0,0.0
16/06/2022,21.1,21.1,0.0,0,0,0,0,0.0,0.0,0.0
15/06/2022,21.1,21.1,0.0,0,0,0,0,0.0,0.0,0.0
14/06/2022,21.1,21.1,0.0,0,0,0,0,0.0,0.0,0.0
13/06/2022,18.5,21.5,0.9,4.37%,2400,0,2400,0.0,0.0,0.0
10/06/2022,20.6,20.6,0.0,0,0,0,0,0.0,0.0,0.0
09/06/2022,20.6,20.6,0.0,0,0,0,0,0.0,0.0,0.0
08/06/2022,20.6,20.6,0.0,0,0,0,0,0.0,0.0,0.0
07/06/2022,20.6,20.6,0.1,0.49%,600,0,600,0.0,0.0,0.0
06/06/2022,20.5,20.5,0.0,0,0,0,0,0.0,0.0,0.0
03/06/2022,20.5,20.5,0.0,0,0,0,0,0.0,0.0,0.0
02/06/2022,20.4,20.4,-3.5,-14.64%,5400,0,5400,0.0,0.0,0.0
01/06/2022,25.5,20.8,-3.6,-14.75%,300,0,300,0.0,0.0,0.0
31/05/2022,24.4,24.4,0.0,0,0,0,0,0.0,0.0,0.0
30/05/2022,24.4,24.4,0.0,0,0,0,0,0.0,0.0,0.0
27/05/2022,24.4,24.4,0.0,0,0,0,0,0.0,0.0,0.0
26/05/2022,24.4,24.4,0.0,0,0,0,0,0.0,0.0,0.0
25/05/2022,24.4,24.4,0.0,0,0,0,0,0.0,0.0,0.0
24/05/2022,24.4,24.4,3.1,14.55%,400,0,400,0.0,0.0,0.0
23/05/2022,21.3,21.3,-3.7,-14.80%,100,0,100,0.0,0.0,0.0
20/05/2022,25.0,25.0,0.0,0,0,0,0,0.0,0.0,0.0
19/05/2022,25.0,25.0,0.0,0,0,0,0,0.0,0.0,0.0
18/05/2022,25.0,25.0,0.0,0,0,0,0,0.0,0.0,0.0
17/05/2022,25.0,25.0,0.0,0,0,0,0,0.0,0.0,0.0
16/05/2022,25.0,25.0,-1.1,-4.21%,100,0,100,0.0,0.0,0.0025
13/05/2022,26.1,26.1,0.0,0,0,0,0,0.0,0.0,0.0
12/05/2022,26.1,26.1,0.0,0,0,0,0,0.0,0.0,0.0
11/05/2022,26.1,26.1,0.0,0,0,0,0,0.0,0.0,0.0
10/05/2022,26.1,26.1,0.0,0,0,0,0,0.0,0.0,0.0
09/05/2022,26.1,26.0,0.0,0,300,0,300,0.01,0.0,0.00782
06/05/2022,26.0,26.0,0.0,0,0,0,0,0.0,0.0,0.0
05/05/2022,26.0,26.0,0.0,0,100,0,100,0.0,0.0,0.0026
04/05/2022,26.0,26.0,0.0,0,0,0,0,0.0,0.0,0.0
29/04/2022,26.0,26.0,0.0,0,0,0,0,0.0,0.0,0.0
28/04/2022,26.0,26.0,0.0,0,0,0,0,0.0,0.0,0.0
27/04/2022,26.0,26.0,0.0,0,0,0,0,0.0,0.0,0.0
26/04/2022,26.0,26.0,0.0,0,0,0,0,0.0,0.0,0.0
25/04/2022,26.0,26.0,0.0,0,0,0,0,0.0,0.0,0.0
22/04/2022,26.0,26.0,0.0,0,0,0,0,0.0,0.0,0.0
21/04/2022,26.0,26.0,0.0,0,100,0,100,0.0,0.0,0.0026
20/04/2022,26.0,26.0,0.4,1.56%,200,0,200,0.01,0.0,0.0052
19/04/2022,25.6,25.6,0.0,0,0,0,0,0.0,0.0,0.0
18/04/2022,25.6,25.6,0.0,0,0,0,0,0.0,0.0,0.0
15/04/2022,25.6,25.6,0.0,0,0,0,0,0.0,0.0,0.0
14/04/2022,25.6,25.6,0.0,0,0,0,0,0.0,0.0,0.0
13/04/2022,25.6,25.6,0.0,0,21,0,0,0.0,0.0,0.00046
12/04/2022,25.6,25.6,0.1,0.39%,2903,0,2900,0.07,0.0,0.07433
08/04/2022,25.5,25.5,0.0,0,300,0,300,0.01,0.0,0.00765
07/04/2022,25.6,25.5,-4.5,-15.00%,2000,0,2000,0.05,0.0,0.05109
06/04/2022,30.0,30.0,0.0,0,0,0,0,0.0,0.0,0.0
05/04/2022,30.0,30.0,0.0,0,0,0,0,0.0,0.0,0.0
04/04/2022,30.0,30.0,0.0,0,0,0,0,0.0,0.0,0.0
01/04/2022,30.0,30.0,0.0,0,0,0,0,0.0,0.0,0.0
31/03/2022,30.0,30.0,0.0,0,0,0,0,0.0,0.0,0.0
30/03/2022,30.0,30.0,0.0,0,0,0,0,0.0,0.0,0.0
29/03/2022,30.0,30.0,-1.5,-4.76%,3000,0,3000,0.09,0.0,0.09
28/03/2022,31.5,31.5,0.0,0,0,0,0,0.0,0.0,0.0
25/03/2022,31.5,31.5,0.0,0,0,0,0,0.0,0.0,0.0
24/03/2022,31.5,31.5,0.0,0,0,0,0,0.0,0.0,0.0
23/03/2022,31.5,31.5,0.0,0,0,0,0,0.0,0.0,0.0
22/03/2022,31.5,31.5,0.0,0,0,0,0,0.0,0.0,0.0
21/03/2022,31.5,31.5,0.0,0,0,0,0,0.0,0.0,0.0
18/03/2022,31.5,31.5,0.0,0,0,0,0,0.0,0.0,0.0
17/03/2022,31.5,31.5,0.0,0,0,0,0,0.0,0.0,0.0
16/03/2022,31.5,31.5,0.0,0,0,0,0,0.0,0.0,0.0
15/03/2022,31.5,31.5,0.0,0,0,0,0,0.0,0.0,0.0
14/03/2022,31.5,31.5,0.0,0,0,0,0,0.0,0.0,0.0
11/03/2022,31.5,31.5,0.0,0,0,0,0,0.0,0.0,0.0
10/03/2022,31.5,31.5,0.0,0,0,0,0,0.0,0.0,0.0
09/03/2022,31.5,31.5,1.5,5.00%,500,0,500,0.02,0.0,0.01575
08/03/2022,30.0,30.0,-2.2,-6.83%,100,0,100,0.0,0.0,0.003
07/03/2022,32.2,32.2,0.0,0,3300,0,3300,0.11,0.0,0.10626
04/03/2022,32.2,32.2,0.0,0,0,0,0,0.0,0.0,0.0
03/03/2022,32.2,32.2,0.0,0,0,0,0,0.0,0.0,0.0
02/03/2022,40.6,29.5,0.5,1.72%,1300,0,1300,0.04,0.0,0.04181
01/03/2022,29.0,29.0,0.0,0,0,0,0,0.0,0.0,0.0
28/02/2022,29.0,29.0,0.0,0,0,0,0,0.0,0.0,0.0
25/02/2022,29.0,29.0,0.0,0,0,0,0,0.0,0.0,0.0
24/02/2022,29.0,29.0,0.0,0,0,0,0,0.0,0.0,0.0
23/02/2022,29.0,29.0,0.0,0,0,0,0,0.0,0.0,0.0
22/02/2022,29.0,29.0,0.0,0,0,0,0,0.0,0.0,0.0
21/02/2022,29.0,29.0,0.0,0,0,0,0,0.0,0.0,0.0
18/02/2022,29.0,29.0,0.0,0,0,0,0,0.0,0.0,0.0
17/02/2022,29.0,29.0,0.0,0,0,0,0,0.0,0.0,0.0
16/02/2022,29.0,29.0,0.0,0,0,0,0,0.0,0.0,0.0
15/02/2022,29.0,29.0,0.0,0,0,0,0,0.0,0.0,0.0
14/02/2022,29.0,29.0,0.0,0,0,0,0,0.0,0.0,0.0
11/02/2022,29.0,29.0,0.0,0,0,0,0,0.0,0.0,0.0
10/02/2022,29.0,29.0,0.0,0,0,0,0,0.0,0.0,0.0
09/02/2022,29.0,29.0,0.0,0,0,0,0,0.0,0.0,0.0
08/02/2022,29.0,29.0,0.0,0,0,0,0,0.0,0.0,0.0
07/02/2022,29.0,29.0,0.0,0,0,0,0,0.0,0.0,0.0
28/01/2022,29.0,29.0,0.0,0,0,0,0,0.0,0.0,0.0
27/01/2022,29.0,29.0,0.0,0,0,0,0,0.0,0.0,0.0
26/01/2022,29.0,29.0,0.0,0,0,0,0,0.0,0.0,0.0
25/01/2022,29.0,29.0,0.0,0,0,0,0,0.0,0.0,0.0
24/01/2022,29.0,29.0,0.0,0,0,0,0,0.0,0.0,0.0
21/01/2022,29.0,29.0,0.0,0,0,0,0,0.0,0.0,0.0
20/01/2022,29.0,29.0,0.0,0,0,0,0,0.0,0.0,0.0
19/01/2022,29.0,29.0,0.0,0,0,0,0,0.0,0.0,0.0
18/01/2022,29.0,29.0,0.0,0,0,0,0,0.0,0.0,0.0
17/01/2022,29.0,29.0,0.2,0.69%,300,0,300,0.01,0.0,0.0087
