Ngày,Mở cửa,Đóng cửa,Thay đổi,% Thay đổi,KLGD khớp lệnh,KLGD thỏa thuận,KLGD tổng cộng,GTGD khớp lệnh (tỷ),GTGD thỏa thuận (tỷ),GTGD tổng cộng (tỷ)
17/06/2022,13.1,14.1,0.15,1.08%,1030,0,1030,0.0,0.0,0.0
16/06/2022,14.25,13.95,-0.3,-2.11%,1000,0,1000,0.0,0.0,0.0
15/06/2022,13.9,14.25,0.3,2.15%,610,0,610,0.0,0.0,0.0
14/06/2022,14.6,13.95,-0.65,-4.45%,690,0,690,0.0,0.0,0.0
13/06/2022,14.8,14.6,-0.2,-1.35%,910,0,910,0.0,0.0,0.0
10/06/2022,14.0,14.8,0.8,5.71%,1580,0,1580,0.0,0.0,0.0
09/06/2022,14.4,14.0,-0.4,-2.78%,970,0,970,0.0,0.0,0.0
08/06/2022,15.15,14.4,-0.75,-4.95%,970,0,970,0.0,0.0,0.0
07/06/2022,14.6,15.15,0.55,3.77%,670,0,670,0.0,0.0,0.0
06/06/2022,15.45,14.6,-0.85,-5.50%,360,0,360,0.0,0.0,0.0
03/06/2022,15.75,15.45,-0.3,-1.90%,330,0,330,0.0,0.0,0.0
02/06/2022,15.75,15.75,0.0,0,490,0,490,0.0,0.0,0.0
01/06/2022,15.4,15.75,0.35,2.27%,590,0,590,0.0,0.0,0.0
31/05/2022,15.45,15.4,-0.05,-0.32%,390,0,390,0.0,0.0,0.0
30/05/2022,15.4,15.45,0.05,0.32%,510,0,510,0.0,0.0,0.0
27/05/2022,15.15,15.4,0.25,1.65%,270,0,270,0.0,0.0,0.0
26/05/2022,14.85,15.15,0.3,2.02%,340,0,340,0.0,0.0,0.0
25/05/2022,15.0,14.85,-0.15,-1.00%,280,0,280,0.0,0.0,0.0
24/05/2022,15.0,15.0,0.0,0,90,0,90,0.0,0.0,0.0
23/05/2022,15.4,15.0,-0.4,-2.60%,190,0,190,0.0,0.0,0.0
20/05/2022,14.5,15.4,0.9,6.21%,320,0,320,0.0,0.0,0.0
19/05/2022,14.5,14.5,0.0,0,500,0,50,0.01,0.0,0.00707
18/05/2022,14.8,14.5,-0.3,-2.03%,1100,0,110,0.02,0.0,0.01554
17/05/2022,14.35,14.8,0.45,3.14%,2100,0,210,0.03,0.0,0.03039
16/05/2022,14.25,14.35,0.1,0.70%,500,0,50,0.01,0.0,0.00717
13/05/2022,14.25,14.25,-1.05,-6.86%,3600,0,360,0.05,0.0,0.05286
12/05/2022,14.8,15.3,0.5,3.38%,1300,0,130,0.02,0.0,0.01934
11/05/2022,15.0,14.8,-0.2,-1.33%,2000,0,200,0.03,0.0,0.02918
10/05/2022,14.3,15.0,0.7,4.90%,2000,0,200,0.03,0.0,0.02861
09/05/2022,16.0,14.3,-1.05,-6.84%,1500,0,150,0.02,0.0,0.02296
06/05/2022,15.25,15.35,0.1,0.66%,500,0,50,0.01,0.0,0.00722
05/05/2022,15.2,15.25,0.05,0.33%,4700,0,470,0.07,0.0,0.07017
04/05/2022,14.8,15.2,0.4,2.70%,600,0,60,0.01,0.0,0.00888
29/04/2022,14.8,14.8,0.0,0,0,0,0,0.0,0.0,0.0
28/04/2022,14.8,14.8,0.0,0,1200,0,120,0.02,0.0,0.01792
27/04/2022,14.6,14.8,0.2,1.37%,1000,0,100,0.01,0.0,0.01452
26/04/2022,15.25,15.25,0.0,0,500,0,50,0.01,0.0,0.00739
25/04/2022,14.85,15.25,0.4,2.69%,1400,0,140,0.02,0.0,0.02084
22/04/2022,15.7,14.85,-0.85,-5.41%,1500,0,150,0.02,0.0,0.02248
21/04/2022,15.85,15.7,-0.15,-0.95%,900,0,90,0.01,0.0,0.01371
20/04/2022,16.4,15.85,-0.55,-3.35%,2000,0,200,0.03,0.0,0.031
19/04/2022,16.95,16.95,0.0,0,4900,0,490,0.08,0.0,0.08016
18/04/2022,17.2,16.95,-0.25,-1.45%,900,0,90,0.01,0.0,0.01494
15/04/2022,17.2,17.2,0.0,0,2800,0,280,0.05,0.0,0.04661
14/04/2022,16.7,17.2,0.5,2.99%,3100,0,310,0.05,0.0,0.05196
13/04/2022,16.1,16.7,0.6,3.73%,2300,0,230,0.04,0.0,0.03744
12/04/2022,16.95,16.1,-0.85,-5.01%,3900,0,390,0.06,0.0,0.06434
08/04/2022,17.3,17.3,0.0,0,2900,0,290,0.05,0.0,0.04818
07/04/2022,17.45,17.3,-0.15,-0.86%,3100,0,310,0.05,0.0,0.05301
06/04/2022,16.7,17.45,-0.4,-2.24%,900,0,90,0.02,0.0,0.01545
05/04/2022,17.95,17.85,-0.1,-0.56%,1600,0,160,0.03,0.0,0.02773
04/04/2022,18.0,17.95,-0.05,-0.28%,7200,70000,720,0.13,1.1725,1.29803
01/04/2022,18.0,18.0,0.0,0,1900,90969,190,0.03,1.52373,1.55651
