Ngày,Mở cửa,Đóng cửa,Thay đổi,% Thay đổi,KLGD khớp lệnh,KLGD thỏa thuận,KLGD tổng cộng,GTGD khớp lệnh (tỷ),GTGD thỏa thuận (tỷ),GTGD tổng cộng (tỷ)
17/06/2022,18.0,17.7,-0.3,-1.67%,3400,0,3400,0.0,0.0,0.0
16/06/2022,18.0,18.0,0.0,0,5590,0,5590,0.0,0.0,0.0
15/06/2022,18.1,18.0,-0.1,-0.55%,5580,0,5580,0.0,0.0,0.0
14/06/2022,17.0,18.1,1.1,6.47%,26120,0,26120,0.0,0.0,0.0
13/06/2022,17.8,17.0,-0.9,-5.03%,6610,0,6610,0.0,0.0,0.0
10/06/2022,18.0,17.9,-0.1,-0.56%,8330,0,8330,0.0,0.0,0.0
09/06/2022,18.2,18.0,-0.2,-1.10%,2540,0,2540,0.0,0.0,0.0
08/06/2022,18.0,18.2,0.4,2.25%,6730,0,6730,0.0,0.0,0.0
07/06/2022,17.65,17.8,0.15,0.85%,13290,0,13290,0.0,0.0,0.0
06/06/2022,16.5,17.65,1.15,6.97%,9680,0,9680,0.0,0.0,0.0
03/06/2022,17.0,16.5,-0.5,-2.94%,2320,0,2320,0.0,0.0,0.0
02/06/2022,17.0,17.0,0.0,0,1790,0,1790,0.0,0.0,0.0
01/06/2022,17.5,17.0,-0.5,-2.86%,410,0,410,0.0,0.0,0.0
31/05/2022,17.0,17.5,0.05,0.29%,4430,0,4430,0.0,0.0,0.0
30/05/2022,17.45,17.45,0.0,0,1160,0,1160,0.0,0.0,0.0
27/05/2022,17.35,17.45,0.1,0.58%,230,0,230,0.0,0.0,0.0
26/05/2022,17.4,17.35,-0.05,-0.29%,1240,0,1240,0.0,0.0,0.0
25/05/2022,17.3,17.4,0.1,0.58%,260,0,260,0.0,0.0,0.0
24/05/2022,17.3,17.3,0.0,0,1160,0,1160,0.0,0.0,0.0
23/05/2022,18.0,17.3,-0.7,-3.89%,1240,0,1240,0.0,0.0,0.0
20/05/2022,17.9,18.0,0.0,0,2030,0,2030,0.0,0.0,0.0
19/05/2022,17.9,18.0,0.1,0.56%,69700,0,6970,1.23,0.0,1.22633
18/05/2022,17.0,17.9,0.9,5.29%,127900,0,12790,2.31,0.0,2.30656
17/05/2022,15.9,17.0,1.1,6.92%,81000,267582,8100,1.35,3.96021,5.31074
16/05/2022,15.4,15.9,0.5,3.25%,40300,0,4030,0.64,0.0,0.64224
13/05/2022,14.6,14.6,0.0,0,175100,0,17410,2.71,0.0,2.71493
12/05/2022,15.65,14.6,-1.05,-6.71%,42600,0,4260,0.63,0.0,0.62728
11/05/2022,15.5,15.65,0.15,0.97%,8900,0,890,0.14,0.0,0.1409
10/05/2022,14.65,15.5,-0.15,-0.96%,25400,0,2540,0.38,0.0,0.38146
09/05/2022,16.8,15.65,-1.15,-6.85%,121600,0,12160,1.92,0.0,1.9165
06/05/2022,17.0,16.8,-0.2,-1.18%,37700,0,3770,0.63,0.0,0.63334
05/05/2022,17.0,17.0,0.0,0,40000,0,4000,0.68,0.0,0.68099
04/05/2022,17.25,17.0,-0.3,-1.73%,13000,0,1300,0.22,0.0,0.22241
