Ngày,Mở cửa,Đóng cửa,Thay đổi,% Thay đổi,KLGD khớp lệnh,KLGD thỏa thuận,KLGD tổng cộng,GTGD khớp lệnh (tỷ),GTGD thỏa thuận (tỷ),GTGD tổng cộng (tỷ)
17/06/2022,6.7,6.62,-0.48,-6.76%,46920,0,46920,0.0,0.0,0.0
16/06/2022,7.09,7.1,0.29,4.26%,44460,0,44460,0.0,0.0,0.0
15/06/2022,7.34,6.81,-0.51,-6.97%,46370,0,46370,0.0,0.0,0.0
14/06/2022,7.42,7.32,-0.54,-6.87%,63760,0,63760,0.0,0.0,0.0
13/06/2022,7.9,7.86,-0.59,-6.98%,63320,0,63320,0.0,0.0,0.0
10/06/2022,8.45,8.45,-0.13,-1.52%,38740,0,38740,0.0,0.0,0.0
09/06/2022,8.45,8.58,0.06,0.70%,20150,0,20150,0.0,0.0,0.0
08/06/2022,8.4,8.52,0.32,3.90%,32360,0,32360,0.0,0.0,0.0
07/06/2022,8.6,8.2,-0.4,-4.65%,51110,0,51110,0.0,0.0,0.0
06/06/2022,8.8,8.6,-0.2,-2.27%,35020,0,35020,0.0,0.0,0.0
03/06/2022,9.0,8.8,-0.33,-3.61%,48390,0,48390,0.0,0.0,0.0
02/06/2022,9.19,9.13,-0.16,-1.72%,46670,0,46670,0.0,0.0,0.0
01/06/2022,9.31,9.29,-0.06,-0.64%,42760,0,42760,0.0,0.0,0.0
31/05/2022,9.22,9.35,0.13,1.41%,125250,0,125250,0.0,0.0,0.0
30/05/2022,9.39,9.22,0.0,0,37590,0,37590,0.0,0.0,0.0
27/05/2022,8.87,9.22,0.35,3.95%,71340,0,71340,0.0,0.0,0.0
26/05/2022,9.01,8.87,-0.04,-0.45%,41930,0,41930,0.0,0.0,0.0
25/05/2022,8.69,8.91,0.22,2.53%,60840,0,60840,0.0,0.0,0.0
24/05/2022,8.78,8.69,-0.08,-0.91%,29360,0,29360,0.0,0.0,0.0
23/05/2022,8.88,8.77,-0.11,-1.24%,40110,0,40110,0.0,0.0,0.0
20/05/2022,8.99,8.88,0.0,0,40420,0,40420,0.0,0.0,0.0
19/05/2022,8.85,8.88,-0.02,-0.22%,303600,0,30360,2.67,0.0,2.66956
18/05/2022,9.2,8.9,0.11,1.25%,428600,0,42860,3.86,0.0,3.85958
17/05/2022,8.22,8.79,0.57,6.93%,598400,0,59840,5.09,0.0,5.09475
16/05/2022,9.18,8.22,-0.61,-6.91%,473900,0,47390,4.17,0.0,4.16507
13/05/2022,9.49,8.83,-0.66,-6.95%,748800,0,73470,6.69,0.0,6.6933
12/05/2022,10.0,9.49,-0.71,-6.96%,711600,0,71160,6.85,0.0,6.85218
11/05/2022,10.0,10.2,0.2,2.00%,413100,0,41310,4.17,0.0,4.16861
10/05/2022,9.31,10.0,0.04,0.40%,796400,0,79640,7.62,0.0,7.61983
09/05/2022,10.2,9.96,-0.74,-6.92%,709600,0,70960,7.15,0.0,7.14691
06/05/2022,10.9,10.7,-0.75,-6.55%,571800,0,57180,6.29,0.0,6.29274
05/05/2022,11.8,11.45,-0.3,-2.55%,902100,0,90210,10.18,0.0,10.18205
04/05/2022,11.65,11.75,0.15,1.29%,474400,0,47440,5.56,0.0,5.56126
29/04/2022,11.4,11.6,0.0,0,604500,0,60450,7.04,0.0,7.04443
28/04/2022,11.9,11.6,-0.05,-0.43%,815700,0,81570,9.59,0.0,9.5931
27/04/2022,10.9,11.65,0.75,6.88%,730300,0,73030,8.25,0.0,8.25464
26/04/2022,10.2,10.9,0.7,6.86%,875300,0,87370,9.12,0.0,9.11921
25/04/2022,11.0,10.2,-0.7,-6.42%,819000,0,81900,8.9,0.0,8.89629
22/04/2022,11.0,10.9,0.3,2.83%,710500,0,68290,7.73,0.0,7.73179
21/04/2022,10.0,10.6,0.0,0,1599200,0,159920,16.84,0.0,16.84459
20/04/2022,10.6,10.6,-0.65,-5.78%,2014800,0,201480,21.8,0.0,21.80266
19/04/2022,12.05,12.05,0.0,0,1242200,0,122940,14.53,0.0,14.52994
18/04/2022,12.5,12.05,-0.9,-6.95%,1267100,0,126710,15.68,0.0,15.68399
15/04/2022,13.25,12.95,-0.3,-2.26%,535600,0,53560,7.05,0.0,7.04786
14/04/2022,13.6,13.25,-0.25,-1.85%,894000,0,89400,11.99,0.0,11.98819
13/04/2022,12.65,13.5,0.7,5.47%,1343700,0,134370,17.39,0.0,17.39233
12/04/2022,13.4,12.8,-0.1,-0.78%,793800,0,79380,10.34,0.0,10.33816
08/04/2022,12.65,12.9,0.25,1.98%,956400,0,90510,12.3,0.0,12.29634
07/04/2022,12.95,12.65,-0.45,-3.44%,1189700,0,118970,15.2,0.0,15.19765
06/04/2022,13.0,13.05,-0.25,-1.88%,993500,0,88140,13.04,0.0,13.04448
05/04/2022,13.65,13.3,-0.15,-1.12%,599500,0,59950,8.02,0.0,8.02457
04/04/2022,13.35,13.45,0.4,3.07%,729200,0,72920,9.65,0.0,9.64681
01/04/2022,12.5,12.85,0.05,0.39%,1104800,0,83920,14.19,0.0,14.18883
31/03/2022,12.95,12.8,-0.15,-1.16%,1060200,0,106020,13.73,0.0,13.73088
30/03/2022,13.6,12.95,-0.8,-5.82%,2504300,0,231250,33.17,0.0,33.17085
29/03/2022,13.55,13.75,0.25,1.85%,957200,0,95720,13.17,0.0,13.16504
28/03/2022,14.0,13.7,-0.45,-3.18%,2111300,0,172930,29.06,0.0,29.055
25/03/2022,14.0,14.15,0.15,1.07%,1141500,0,100680,16.12,0.0,16.12106
24/03/2022,13.8,14.0,0.1,0.72%,1419400,0,141010,19.96,0.0,19.96265
23/03/2022,13.85,13.95,0.1,0.72%,1756600,0,171320,24.29,0.0,24.29486
22/03/2022,13.75,13.95,0.05,0.36%,1792500,0,131030,24.93,0.0,24.93085
21/03/2022,14.3,13.9,-0.4,-2.80%,2533300,0,238390,35.54,0.0,35.54139
18/03/2022,14.4,14.3,-0.1,-0.69%,1279300,0,127930,18.37,0.0,18.36904
15/03/2022,15.0,14.2,-0.55,-3.73%,1979200,0,197920,28.73,0.0,28.73108
14/03/2022,14.2,14.75,0.55,3.87%,2000900,0,200090,28.71,0.0,28.71116
11/03/2022,13.9,14.2,0.1,0.71%,3188800,0,318880,45.97,0.0,45.96795
10/03/2022,13.9,14.1,0.55,4.06%,3465600,0,346560,48.96,0.0,48.96422
09/03/2022,13.8,13.55,-0.25,-1.81%,1411900,0,141190,19.06,0.0,19.06496
08/03/2022,12.5,13.8,0.9,6.98%,3873200,0,387320,52.02,0.0,52.01772
07/03/2022,13.4,12.9,-0.7,-5.15%,3266900,0,326690,43.04,0.0,43.03801
04/03/2022,13.3,13.6,0.2,1.49%,1642800,0,164280,22.36,0.0,22.36402
03/03/2022,13.7,13.4,-0.3,-2.19%,1752000,0,175200,23.64,0.0,23.63775
02/03/2022,13.4,13.7,0.0,0,3069200,0,306920,41.2,0.0,41.20162
01/03/2022,14.25,13.7,-0.4,-2.84%,2460800,0,246080,34.06,0.0,34.06167
28/02/2022,13.65,14.1,0.7,5.22%,2569800,0,256980,35.96,0.0,35.95984
25/02/2022,12.9,13.4,0.85,6.77%,3135400,0,313540,41.26,0.0,41.26031
24/02/2022,13.1,12.55,-0.75,-5.64%,4857300,0,485730,62.37,0.0,62.36619
23/02/2022,13.45,13.3,-0.15,-1.12%,3693500,0,369350,50.67,0.0,50.67295
22/02/2022,12.05,13.45,0.85,6.75%,4077200,0,407720,52.69,0.0,52.69292
21/02/2022,12.9,12.6,0.3,2.44%,4261600,0,426160,53.81,0.0,53.80911
18/02/2022,11.6,12.3,0.8,6.96%,6643700,0,664370,80.94,0.0,80.94458
17/02/2022,11.0,11.5,0.75,6.98%,1074200,0,107420,12.19,0.0,12.19472
