Ngày,Mở cửa,Đóng cửa,Thay đổi,% Thay đổi,KLGD khớp lệnh,KLGD thỏa thuận,KLGD tổng cộng,GTGD khớp lệnh (tỷ),GTGD thỏa thuận (tỷ),GTGD tổng cộng (tỷ)
17/06/2022,4.0,3.8,-0.3,-7.32%,19800,0,19800,0.0,0.0,0.0
16/06/2022,4.1,4.1,0.0,0,0,0,0,0.0,0.0,0.0
15/06/2022,4.1,4.1,0.0,0,0,0,0,0.0,0.0,0.0
14/06/2022,4.1,4.1,0.0,0,0,0,0,0.0,0.0,0.0
13/06/2022,4.1,4.1,0.0,0,0,0,0,0.0,0.0,0.0
10/06/2022,3.8,4.2,0.0,0,18000,0,18000,0.0,0.0,0.0
09/06/2022,4.2,4.2,0.0,0,0,0,0,0.0,0.0,0.0
08/06/2022,4.2,4.2,0.0,0,0,0,0,0.0,0.0,0.0
07/06/2022,4.2,4.2,0.0,0,0,0,0,0.0,0.0,0.0
06/06/2022,4.2,4.2,0.0,0,0,0,0,0.0,0.0,0.0
03/06/2022,4.6,4.2,-0.7,-14.29%,38700,0,38700,0.0,0.0,0.0
02/06/2022,4.9,4.9,0.0,0,0,0,0,0.0,0.0,0.0
01/06/2022,4.9,4.9,0.0,0,0,0,0,0.0,0.0,0.0
31/05/2022,4.9,4.9,0.0,0,0,0,0,0.0,0.0,0.0
30/05/2022,4.9,4.9,0.0,0,0,0,0,0.0,0.0,0.0
27/05/2022,4.9,4.7,-0.2,-4.08%,13300,0,13300,0.0,0.0,0.0
26/05/2022,4.9,4.9,0.0,0,0,0,0,0.0,0.0,0.0
25/05/2022,4.9,4.9,0.0,0,0,0,0,0.0,0.0,0.0
24/05/2022,4.9,4.9,0.0,0,0,0,0,0.0,0.0,0.0
23/05/2022,4.9,4.9,0.0,0,0,0,0,0.0,0.0,0.0
20/05/2022,5.0,5.0,0.6,13.64%,1600,0,1600,0.0,0.0,0.0
19/05/2022,4.4,4.4,0.0,0,0,0,0,0.0,0.0,0.0
18/05/2022,4.4,4.4,0.0,0,0,0,0,0.0,0.0,0.0
17/05/2022,4.4,4.4,0.0,0,0,0,0,0.0,0.0,0.0
16/05/2022,4.4,4.4,0.0,0,0,0,0,0.0,0.0,0.0
13/05/2022,4.4,5.6,0.5,9.80%,5400,0,5400,0.02,0.0,0.02388
12/05/2022,5.1,5.1,0.0,0,0,0,0,0.0,0.0,0.0
11/05/2022,5.1,5.1,0.0,0,0,0,0,0.0,0.0,0.0
10/05/2022,5.1,5.1,0.0,0,0,0,0,0.0,0.0,0.0
09/05/2022,5.1,5.1,0.0,0,0,0,0,0.0,0.0,0.0
06/05/2022,5.0,5.1,0.2,4.08%,11500,0,11500,0.06,0.0,0.05899
05/05/2022,4.9,4.9,0.0,0,0,0,0,0.0,0.0,0.0
04/05/2022,4.9,4.9,0.0,0,0,0,0,0.0,0.0,0.0
29/04/2022,4.7,5.6,0.4,7.69%,6300,0,6300,0.03,0.0,0.03064
28/04/2022,5.2,5.2,0.0,0,0,0,0,0.0,0.0,0.0
27/04/2022,5.2,5.2,0.0,0,0,0,0,0.0,0.0,0.0
26/04/2022,5.2,5.2,0.0,0,0,0,0,0.0,0.0,0.0
25/04/2022,5.2,5.2,0.0,0,0,0,0,0.0,0.0,0.0
22/04/2022,5.1,5.3,-0.6,-10.17%,8630,0,8600,0.05,0.0,0.04534
21/04/2022,5.9,5.9,0.0,0,0,0,0,0.0,0.0,0.0
20/04/2022,5.9,5.9,0.0,0,0,0,0,0.0,0.0,0.0
19/04/2022,5.9,5.9,0.0,0,0,0,0,0.0,0.0,0.0
18/04/2022,5.9,5.9,0.0,0,0,0,0,0.0,0.0,0.0
15/04/2022,6.1,6.0,0.0,0,59400,0,59400,0.35,0.0,0.34851
14/04/2022,6.0,6.0,0.0,0,0,0,0,0.0,0.0,0.0
13/04/2022,6.0,6.0,0.0,0,0,0,0,0.0,0.0,0.0
12/04/2022,6.0,6.0,0.0,0,0,0,0,0.0,0.0,0.0
08/04/2022,6.9,6.0,-1.0,-14.29%,39900,0,39900,0.24,0.0,0.24113
07/04/2022,7.0,7.0,0.0,0,0,0,0,0.0,0.0,0.0
06/04/2022,7.0,7.0,0.0,0,0,0,0,0.0,0.0,0.0
05/04/2022,7.0,7.0,0.0,0,0,0,0,0.0,0.0,0.0
04/04/2022,7.0,7.0,0.0,0,0,0,0,0.0,0.0,0.0
01/04/2022,7.0,6.3,-0.3,-4.55%,47650,0,47600,0.33,0.0,0.33443
31/03/2022,6.6,6.6,0.0,0,0,0,0,0.0,0.0,0.0
30/03/2022,6.6,6.6,0.0,0,0,0,0,0.0,0.0,0.0
29/03/2022,6.6,6.6,0.0,0,0,0,0,0.0,0.0,0.0
28/03/2022,6.6,6.6,0.0,0,0,0,0,0.0,0.0,0.0
25/03/2022,6.6,6.6,0.0,0,32200,0,32100,0.21,0.0,0.21198
24/03/2022,6.6,6.6,0.0,0,0,0,0,0.0,0.0,0.0
23/03/2022,6.6,6.6,0.0,0,0,0,0,0.0,0.0,0.0
22/03/2022,6.6,6.6,0.0,0,0,0,0,0.0,0.0,0.0
21/03/2022,6.6,6.6,0.0,0,0,0,0,0.0,0.0,0.0
18/03/2022,7.2,6.2,-0.1,-1.59%,11450,0,11400,0.08,0.0,0.07528
17/03/2022,6.3,6.3,0.0,0,0,0,0,0.0,0.0,0.0
16/03/2022,6.3,6.3,0.0,0,0,0,0,0.0,0.0,0.0
15/03/2022,6.3,6.3,0.0,0,0,0,0,0.0,0.0,0.0
14/03/2022,6.3,6.3,0.0,0,0,0,0,0.0,0.0,0.0
11/03/2022,6.3,6.3,0.8,14.55%,46670,139000,46600,0.29,0.6533,0.94591
10/03/2022,5.5,5.5,0.0,0,0,0,0,0.0,0.0,0.0
09/03/2022,5.5,5.5,0.0,0,0,0,0,0.0,0.0,0.0
08/03/2022,5.5,5.5,0.0,0,0,0,0,0.0,0.0,0.0
07/03/2022,5.5,5.5,0.0,0,0,0,0,0.0,0.0,0.0
04/03/2022,5.5,5.5,0.7,14.58%,22850,0,22800,0.13,0.0,0.12565
03/03/2022,4.8,4.8,0.0,0,0,0,0,0.0,0.0,0.0
02/03/2022,4.8,4.8,0.0,0,0,0,0,0.0,0.0,0.0
01/03/2022,4.8,4.8,0.0,0,0,0,0,0.0,0.0,0.0
28/02/2022,4.8,4.8,0.0,0,0,0,0,0.0,0.0,0.0
25/02/2022,4.4,5.0,0.0,0,14000,0,14000,0.07,0.0,0.06732
24/02/2022,5.0,5.0,0.0,0,0,0,0,0.0,0.0,0.0
23/02/2022,5.0,5.0,0.0,0,0,0,0,0.0,0.0,0.0
22/02/2022,5.0,5.0,0.0,0,0,0,0,0.0,0.0,0.0
21/02/2022,5.0,5.0,0.0,0,0,0,0,0.0,0.0,0.0
18/02/2022,5.0,5.0,0.6,13.64%,28820,0,28800,0.14,0.0,0.1441
17/02/2022,4.4,4.4,0.0,0,0,0,0,0.0,0.0,0.0
16/02/2022,4.4,4.4,0.0,0,0,0,0,0.0,0.0,0.0
15/02/2022,4.4,4.4,0.0,0,0,0,0,0.0,0.0,0.0
14/02/2022,4.4,4.4,0.0,0,0,0,0,0.0,0.0,0.0
11/02/2022,4.4,4.4,0.5,12.82%,4500,0,4500,0.02,0.0,0.0198
10/02/2022,3.9,3.9,0.0,0,0,0,0,0.0,0.0,0.0
09/02/2022,3.9,3.9,0.0,0,0,0,0,0.0,0.0,0.0
08/02/2022,3.9,3.9,0.0,0,0,0,0,0.0,0.0,0.0
07/02/2022,3.9,3.9,0.0,0,0,0,0,0.0,0.0,0.0
28/01/2022,3.8,4.8,0.5,11.63%,7900,0,7900,0.03,0.0,0.03112
27/01/2022,4.3,4.3,0.0,0,0,0,0,0.0,0.0,0.0
26/01/2022,4.3,4.3,0.0,0,0,0,0,0.0,0.0,0.0
25/01/2022,4.3,4.3,0.0,0,0,0,0,0.0,0.0,0.0
24/01/2022,4.3,4.3,0.0,0,0,0,0,0.0,0.0,0.0
21/01/2022,4.3,4.3,-0.7,-14.00%,16100,0,16100,0.07,0.0,0.06943
20/01/2022,5.0,5.0,0.0,0,0,0,0,0.0,0.0,0.0
19/01/2022,5.0,5.0,0.0,0,0,0,0,0.0,0.0,0.0
18/01/2022,5.0,5.0,0.0,0,0,0,0,0.0,0.0,0.0
17/01/2022,5.0,5.0,0.0,0,0,0,0,0.0,0.0,0.0
14/01/2022,5.0,5.0,0.0,0,950,0,900,0.0,0.0,0.00472
13/01/2022,5.0,5.0,0.0,0,0,0,0,0.0,0.0,0.0
12/01/2022,5.0,5.0,0.0,0,0,0,0,0.0,0.0,0.0
11/01/2022,5.0,5.0,0.0,0,0,0,0,0.0,0.0,0.0
10/01/2022,5.0,5.0,0.0,0,0,0,0,0.0,0.0,0.0
07/01/2022,4.4,5.0,0.6,13.64%,42311,0,42300,0.21,0.0,0.21065
06/01/2022,4.4,4.4,0.0,0,0,0,0,0.0,0.0,0.0
05/01/2022,4.4,4.4,0.0,0,0,0,0,0.0,0.0,0.0
04/01/2022,4.4,4.4,0.0,0,0,0,0,0.0,0.0,0.0
31/12/2021,4.4,4.7,0.6,14.63%,22400,0,22400,0.1,0.0,0.09868
30/12/2021,4.1,4.1,0.0,0,0,0,0,0.0,0.0,0.0
29/12/2021,4.1,4.1,0.0,0,0,0,0,0.0,0.0,0.0
28/12/2021,4.1,4.1,0.0,0,0,0,0,0.0,0.0,0.0
27/12/2021,4.1,4.1,0.0,0,0,0,0,0.0,0.0,0.0
24/12/2021,4.1,4.0,-0.6,-13.04%,11700,0,11700,0.05,0.0,0.04779
23/12/2021,4.6,4.6,0.0,0,0,0,0,0.0,0.0,0.0
22/12/2021,4.6,4.6,0.0,0,0,0,0,0.0,0.0,0.0
21/12/2021,4.6,4.6,0.0,0,0,0,0,0.0,0.0,0.0
20/12/2021,4.6,4.6,0.0,0,0,0,0,0.0,0.0,0.0
17/12/2021,4.2,4.4,-0.1,-2.22%,14940,0,14900,0.07,0.0,0.06834
16/12/2021,4.5,4.5,0.0,0,0,0,0,0.0,0.0,0.0
15/12/2021,4.5,4.5,0.0,0,0,0,0,0.0,0.0,0.0
14/12/2021,4.5,4.5,0.0,0,0,0,0,0.0,0.0,0.0
13/12/2021,4.5,4.5,0.0,0,0,0,0,0.0,0.0,0.0
10/12/2021,4.2,5.2,0.6,13.04%,7523,0,7500,0.03,0.0,0.03384
09/12/2021,4.6,4.6,0.0,0,0,0,0,0.0,0.0,0.0
08/12/2021,4.6,4.6,0.0,0,0,0,0,0.0,0.0,0.0
07/12/2021,4.6,4.6,0.0,0,0,0,0,0.0,0.0,0.0
06/12/2021,4.6,4.6,0.0,0,0,0,0,0.0,0.0,0.0
03/12/2021,4.5,4.7,-0.3,-6.00%,7000,0,7000,0.03,0.0,0.03253
02/12/2021,5.0,5.0,0.0,0,0,0,0,0.0,0.0,0.0
01/12/2021,5.0,5.0,0.0,0,0,0,0,0.0,0.0,0.0
