Ngày,Mở cửa,Đóng cửa,Thay đổi,% Thay đổi,KLGD khớp lệnh,KLGD thỏa thuận,KLGD tổng cộng,GTGD khớp lệnh (tỷ),GTGD thỏa thuận (tỷ),GTGD tổng cộng (tỷ)
17/06/2022,123.0,126.0,-2.0,-1.56%,105820,0,105820,0.0,0.0,0.0
16/06/2022,125.0,128.0,4.2,3.39%,60680,0,60680,0.0,0.0,0.0
15/06/2022,122.0,123.8,2.9,2.40%,57880,0,57880,0.0,0.0,0.0
14/06/2022,116.5,120.9,-3.8,-3.05%,139210,0,139210,0.0,0.0,0.0
13/06/2022,124.7,124.7,-9.3,-6.94%,113230,0,113230,0.0,0.0,0.0
10/06/2022,138.0,134.0,-5.2,-3.74%,57410,0,57410,0.0,0.0,0.0
09/06/2022,141.4,139.2,0.1,0.07%,51310,0,51310,0.0,0.0,0.0
08/06/2022,132.5,139.1,9.1,7.00%,189800,0,189800,0.0,0.0,0.0
07/06/2022,129.6,130.0,0.0,0,58060,0,58060,0.0,0.0,0.0
06/06/2022,128.0,130.0,1.2,0.93%,54150,0,54150,0.0,0.0,0.0
03/06/2022,129.6,128.8,-2.1,-1.60%,53040,0,53040,0.0,0.0,0.0
02/06/2022,132.0,130.9,2.5,1.95%,64680,0,64680,0.0,0.0,0.0
01/06/2022,128.0,128.4,0.4,0.31%,41140,0,41140,0.0,0.0,0.0
31/05/2022,125.1,128.0,1.0,0.79%,51340,0,51340,0.0,0.0,0.0
30/05/2022,127.0,127.0,0.0,0,47440,0,47440,0.0,0.0,0.0
27/05/2022,122.0,127.0,5.1,4.18%,69640,0,69640,0.0,0.0,0.0
26/05/2022,123.0,121.9,2.1,1.75%,48630,0,48630,0.0,0.0,0.0
25/05/2022,114.8,119.8,7.8,6.96%,51480,0,51480,0.0,0.0,0.0
24/05/2022,108.3,112.0,3.8,3.51%,75140,0,75140,0.0,0.0,0.0
23/05/2022,108.5,108.2,0.2,0.19%,72110,0,72110,0.0,0.0,0.0
20/05/2022,106.8,108.0,1.1,1.03%,54480,0,54480,0.0,0.0,0.0
19/05/2022,102.0,106.9,0.3,0.28%,525100,0,52510,55.66,0.0,55.66201
18/05/2022,105.4,106.6,6.9,6.92%,510300,0,51030,53.69,0.0,53.69011
17/05/2022,92.0,99.7,6.5,6.97%,545700,0,54570,51.39,0.0,51.38694
16/05/2022,103.0,93.2,-7.0,-6.99%,1147700,0,114770,109.41,0.0,109.4146
13/05/2022,103.0,103.0,-4.7,-4.36%,742000,0,74080,75.01,0.0,75.01088
12/05/2022,115.0,107.7,-8.1,-6.99%,540600,0,54060,59.57,0.0,59.56524
11/05/2022,118.0,115.8,-1.2,-1.03%,424100,0,42410,49.59,0.0,49.5871
10/05/2022,109.0,117.0,1.1,0.95%,996500,0,99650,112.3,0.0,112.29679
09/05/2022,123.5,115.9,-8.7,-6.98%,1211300,0,121130,141.58,0.0,141.58478
06/05/2022,129.0,124.6,-9.3,-6.95%,1155800,0,115580,147.78,0.0,147.78015
05/05/2022,138.0,133.9,-2.7,-1.98%,724700,0,72470,97.87,0.0,97.8695
04/05/2022,138.9,136.6,-2.4,-1.73%,577000,0,57700,79.27,0.0,79.27384
29/04/2022,136.0,139.0,4.0,2.96%,879100,0,87910,121.69,0.0,121.69049
28/04/2022,136.8,135.0,0.9,0.67%,369100,0,36910,49.82,0.0,49.82273
27/04/2022,128.0,134.1,4.1,3.15%,425200,0,42520,55.08,0.0,55.07874
26/04/2022,122.8,129.0,-3.0,-2.27%,1423800,0,139060,177.93,0.0,177.92776
25/04/2022,138.3,132.0,-9.9,-6.98%,1002500,0,100250,134.4,0.0,134.39694
22/04/2022,153.0,141.9,-10.6,-6.95%,1538800,0,147840,220.97,0.0,220.96752
21/04/2022,145.1,152.5,4.5,3.04%,1196000,0,119600,174.27,0.0,174.27195
20/04/2022,157.6,148.0,-10.0,-6.33%,957300,0,95730,146.0,0.0,146.003
19/04/2022,155.8,156.3,0.8,0.51%,751700,0,71830,119.77,0.0,119.76788
18/04/2022,144.5,155.5,10.1,6.95%,2226700,0,222670,342.6,0.0,342.59545
15/04/2022,144.8,145.4,0.7,0.48%,578900,0,57890,84.57,0.0,84.57367
14/04/2022,138.6,144.7,6.9,5.01%,1176100,0,117610,169.88,0.0,169.87593
13/04/2022,133.0,137.8,5.0,3.77%,670700,0,67070,90.06,0.0,90.05708
12/04/2022,137.9,132.8,-4.7,-3.42%,489200,0,48920,65.5,0.0,65.50292
08/04/2022,135.0,137.5,0.3,0.22%,793400,0,77230,107.91,0.0,107.90508
07/04/2022,149.1,137.2,-10.3,-6.98%,2798100,0,279810,389.78,0.0,389.78029
06/04/2022,146.0,147.8,1.2,0.82%,724000,0,62280,107.33,0.0,107.33084
05/04/2022,145.3,146.6,0.0,0,409400,0,40940,60.1,0.0,60.10481
04/04/2022,147.5,146.6,-0.8,-0.54%,712500,73000,71250,106.98,10.074,117.05055
01/04/2022,141.5,145.0,3.0,2.11%,675200,0,49340,97.98,0.0,97.9791
31/03/2022,146.2,142.0,-4.2,-2.87%,494100,0,49410,71.43,0.0,71.42881
30/03/2022,141.5,145.6,3.6,2.54%,1105200,0,103590,159.05,0.0,159.04717
29/03/2022,146.5,142.0,-6.0,-4.05%,1143000,0,114300,163.58,0.0,163.57715
28/03/2022,142.0,146.3,4.5,3.17%,860200,0,71220,125.53,0.0,125.52518
25/03/2022,134.0,141.8,9.2,6.94%,1350400,0,134460,188.05,0.0,188.05344
24/03/2022,132.5,134.1,2.4,1.82%,706600,0,67460,95.45,0.0,95.45195
23/03/2022,122.8,131.7,8.6,6.99%,1348300,0,130720,175.35,0.0,175.35157
22/03/2022,126.0,123.6,-2.9,-2.29%,540300,0,49830,66.89,0.0,66.8855
21/03/2022,124.2,125.8,1.2,0.96%,497700,0,45800,62.52,0.0,62.51678
18/03/2022,125.0,124.6,-0.4,-0.32%,540600,0,54060,67.91,0.0,67.90944
15/03/2022,114.2,112.5,-1.7,-1.49%,554100,0,55410,62.49,0.0,62.49463
14/03/2022,119.0,114.2,-4.8,-4.03%,453100,0,45310,52.79,0.0,52.79415
11/03/2022,120.6,119.0,-1.4,-1.16%,570600,0,57060,68.98,0.0,68.9793
10/03/2022,118.8,120.4,2.4,2.03%,407500,72300,40750,48.78,8.65431,57.43349
09/03/2022,119.3,118.0,-0.7,-0.59%,434300,81400,43430,51.75,9.6052,61.35155
08/03/2022,117.5,118.7,-0.6,-0.50%,739700,0,73970,88.88,0.0,88.88464
07/03/2022,120.5,119.3,-2.0,-1.65%,467100,0,46710,55.56,0.0,55.55839
04/03/2022,122.8,121.3,-2.2,-1.78%,404000,0,40400,49.15,0.0,49.14817
03/03/2022,124.0,123.5,-0.4,-0.32%,397900,0,39790,48.87,0.0,48.8664
02/03/2022,125.0,123.9,-3.1,-2.44%,445500,0,44550,55.24,0.0,55.24497
01/03/2022,122.9,127.0,4.1,3.34%,902700,0,90270,112.36,0.0,112.36131
28/02/2022,124.8,122.9,2.0,1.65%,355200,0,35520,43.86,0.0,43.85686
25/02/2022,113.0,120.9,7.9,6.99%,1359500,0,135950,160.91,0.0,160.90766
24/02/2022,111.0,113.0,1.4,1.25%,571000,0,57100,63.99,0.0,63.99184
23/02/2022,111.0,111.6,-0.3,-0.27%,245300,0,24530,27.5,0.0,27.49929
22/02/2022,113.0,111.9,-1.6,-1.41%,437700,0,43770,48.61,0.0,48.60908
