Ngày,Mở cửa,Đóng cửa,Thay đổi,% Thay đổi,KLGD khớp lệnh,KLGD thỏa thuận,KLGD tổng cộng,GTGD khớp lệnh (tỷ),GTGD thỏa thuận (tỷ),GTGD tổng cộng (tỷ)
17/06/2022,3.72,3.71,-0.27,-6.78%,440740,0,440740,0.0,0.0,0.0
16/06/2022,4.17,3.98,-0.07,-1.73%,193460,0,193460,0.0,0.0,0.0
15/06/2022,4.35,4.05,-0.3,-6.90%,292830,0,292830,0.0,0.0,0.0
14/06/2022,4.5,4.35,-0.17,-3.76%,205990,0,205990,0.0,0.0,0.0
13/06/2022,4.74,4.52,-0.34,-7.00%,359260,0,359260,0.0,0.0,0.0
10/06/2022,5.02,4.86,-0.22,-4.33%,233630,0,233630,0.0,0.0,0.0
09/06/2022,5.19,5.08,-0.03,-0.59%,140070,0,140070,0.0,0.0,0.0
08/06/2022,4.9,5.11,0.32,6.68%,242890,0,242890,0.0,0.0,0.0
07/06/2022,5.0,4.79,-0.36,-6.99%,442440,0,442440,0.0,0.0,0.0
06/06/2022,5.19,5.15,-0.03,-0.58%,239970,0,239970,0.0,0.0,0.0
03/06/2022,5.16,5.18,0.02,0.39%,226930,0,226930,0.0,0.0,0.0
02/06/2022,5.31,5.16,-0.15,-2.82%,374490,0,374490,0.0,0.0,0.0
01/06/2022,5.41,5.31,-0.19,-3.45%,406220,0,406220,0.0,0.0,0.0
31/05/2022,5.6,5.5,-0.18,-3.17%,413450,0,413450,0.0,0.0,0.0
30/05/2022,5.79,5.68,-0.11,-1.90%,501620,0,501620,0.0,0.0,0.0
27/05/2022,5.5,5.79,0.28,5.08%,279420,0,279420,0.0,0.0,0.0
26/05/2022,5.35,5.51,0.21,3.96%,435480,0,435480,0.0,0.0,0.0
25/05/2022,5.1,5.3,0.2,3.92%,347020,0,347020,0.0,0.0,0.0
24/05/2022,5.08,5.1,0.01,0.20%,237880,0,237880,0.0,0.0,0.0
23/05/2022,5.1,5.09,0.03,0.59%,318130,0,318130,0.0,0.0,0.0
20/05/2022,5.0,5.06,0.06,1.20%,262480,0,262480,0.0,0.0,0.0
19/05/2022,4.75,5.0,0.01,0.20%,2460100,0,246010,12.21,0.0,12.20791
18/05/2022,4.99,4.99,0.19,3.96%,2593100,0,259310,12.88,0.0,12.88093
17/05/2022,4.5,4.8,0.31,6.90%,1871300,0,187130,8.79,0.0,8.78631
16/05/2022,4.59,4.49,0.1,2.28%,1882000,0,188200,8.6,0.0,8.60279
13/05/2022,4.76,4.39,-0.31,-6.60%,4005900,0,377610,18.24,0.0,18.23927
12/05/2022,5.03,4.7,-0.34,-6.75%,1840000,0,184000,8.92,0.0,8.92224
11/05/2022,5.0,5.04,0.18,3.70%,1896000,0,189600,9.53,0.0,9.52559
10/05/2022,4.25,4.86,0.31,6.81%,2723400,0,272340,12.42,0.0,12.42454
09/05/2022,4.89,4.55,-0.34,-6.95%,4144500,0,414450,19.1,0.0,19.10353
06/05/2022,4.96,4.89,-0.36,-6.86%,2352000,0,235200,11.84,0.0,11.84182
05/05/2022,5.42,5.25,-0.11,-2.05%,2515200,0,251520,13.43,0.0,13.42795
04/05/2022,5.39,5.36,-0.09,-1.65%,2603000,0,260300,13.99,0.0,13.99378
29/04/2022,5.09,5.45,0.35,6.86%,4997400,0,499740,26.74,0.0,26.73573
28/04/2022,5.15,5.1,0.08,1.59%,3318900,0,331890,17.16,0.0,17.16405
27/04/2022,4.7,5.02,0.32,6.81%,4261500,0,426150,20.83,0.0,20.83061
26/04/2022,4.16,4.7,0.3,6.82%,2921100,0,290250,12.99,0.0,12.9937
25/04/2022,4.69,4.4,-0.15,-3.30%,3683000,0,368300,16.58,0.0,16.57609
22/04/2022,4.48,4.58,-0.23,-4.78%,7826300,0,766000,36.81,0.0,36.8136
21/04/2022,4.81,4.81,-0.36,-6.96%,889000,0,88900,4.28,0.0,4.27609
20/04/2022,5.17,5.17,-0.38,-6.85%,1595500,0,159550,8.26,0.0,8.26156
19/04/2022,5.62,5.55,-0.41,-6.88%,4579400,0,454050,25.67,0.0,25.67156
18/04/2022,6.3,5.96,-0.44,-6.88%,4930100,0,493010,29.62,0.0,29.6221
15/04/2022,6.6,6.4,-0.28,-4.19%,2583600,0,258360,16.75,0.0,16.74824
14/04/2022,6.8,6.68,0.02,0.30%,1843300,0,184330,12.44,0.0,12.4417
13/04/2022,6.5,6.66,0.13,1.99%,4273300,0,427330,27.56,0.0,27.56327
12/04/2022,7.02,6.53,-0.49,-6.98%,5240400,0,524040,35.25,0.0,35.25491
08/04/2022,7.19,7.04,-0.16,-2.22%,3431200,0,330790,24.4,0.0,24.39933
07/04/2022,7.2,7.2,0.0,0,2730000,0,273000,19.73,0.0,19.73137
06/04/2022,7.3,7.28,-0.26,-3.45%,4587900,0,380330,33.66,0.0,33.65607
05/04/2022,7.55,7.54,-0.01,-0.13%,2770400,0,277040,20.93,0.0,20.92593
04/04/2022,7.59,7.55,0.24,3.28%,3340100,0,334010,25.16,0.0,25.16191
01/04/2022,7.1,7.3,0.06,0.83%,5582800,0,396610,40.57,0.0,40.57127
31/03/2022,7.59,7.24,-0.35,-4.61%,6936000,0,693600,51.24,0.0,51.24215
30/03/2022,7.9,7.63,-0.51,-6.27%,12362600,0,1159870,96.1,0.0,96.09547
29/03/2022,7.82,8.14,0.42,5.44%,6807300,950000,680730,54.36,7.334,61.69527
28/03/2022,7.9,7.89,-0.36,-4.36%,18047200,0,1592260,140.26,0.0,140.26277
25/03/2022,8.34,8.25,-0.09,-1.08%,6412600,0,601000,53.28,0.0,53.27743
24/03/2022,8.1,8.34,0.24,2.96%,8774800,0,860780,73.21,0.0,73.2059
23/03/2022,7.86,8.08,0.18,2.28%,9589800,0,919040,78.15,0.0,78.15005
22/03/2022,8.18,7.98,-0.2,-2.44%,12104600,0,1069060,97.02,0.0,97.0169
21/03/2022,8.0,8.18,0.25,3.15%,7276000,118100,692400,58.9,0.87158,59.77328
18/03/2022,7.72,7.93,0.21,2.72%,11919400,0,1191940,94.92,0.0,94.91647
15/03/2022,7.2,7.24,0.04,0.56%,3355000,0,335500,24.19,0.0,24.18856
14/03/2022,7.5,7.2,-0.3,-4.00%,5599900,0,559990,40.75,0.0,40.75017
11/03/2022,7.46,7.5,0.03,0.40%,7270600,0,727060,54.87,0.0,54.87391
10/03/2022,7.54,7.47,0.06,0.81%,4267800,0,426780,32.14,0.0,32.14285
09/03/2022,7.55,7.41,-0.12,-1.59%,5211000,0,521100,38.66,0.0,38.66177
08/03/2022,7.77,7.53,-0.24,-3.09%,8305600,0,830560,64.14,0.0,64.1394
07/03/2022,7.5,7.77,0.27,3.60%,10849900,0,1084990,83.27,0.0,83.26674
04/03/2022,7.52,7.5,0.0,0,5810000,0,581000,43.92,0.0,43.92037
03/03/2022,7.37,7.5,0.2,2.74%,6783000,0,678300,50.64,0.0,50.64176
02/03/2022,7.32,7.3,0.05,0.69%,5022500,0,502250,36.85,0.0,36.85373
01/03/2022,7.25,7.25,0.04,0.55%,7888500,0,788850,57.99,0.0,57.98552
28/02/2022,7.12,7.21,0.04,0.56%,3794000,0,379400,27.39,0.0,27.38851
25/02/2022,7.31,7.17,0.12,1.70%,4611100,0,461110,33.23,0.0,33.22515
24/02/2022,7.56,7.05,-0.53,-6.99%,11058800,0,1105880,79.51,0.0,79.50963
23/02/2022,7.55,7.58,0.14,1.88%,3478700,0,347870,26.35,0.0,26.35145
22/02/2022,7.5,7.44,-0.28,-3.63%,6471500,0,647150,48.59,0.0,48.58627
21/02/2022,7.22,7.72,0.5,6.93%,10085500,0,1008550,76.29,0.0,76.28638
18/02/2022,7.07,7.22,0.05,0.70%,3655400,0,365540,26.37,0.0,26.3666
17/02/2022,7.24,7.17,-0.07,-0.97%,3973300,0,397330,28.66,0.0,28.65776
16/02/2022,6.89,7.11,0.32,4.71%,6585000,0,439900,46.74,0.0,46.74336
15/02/2022,6.8,6.79,-0.01,-0.15%,2963600,0,296360,20.02,0.0,20.02078
14/02/2022,6.8,6.8,-0.19,-2.72%,3457700,0,345770,23.58,0.0,23.57811
11/02/2022,7.09,6.99,-0.1,-1.41%,3791100,0,379110,26.66,0.0,26.65842
10/02/2022,7.12,7.09,0.04,0.57%,2754300,0,275430,19.67,0.0,19.66516
09/02/2022,6.8,7.05,0.14,2.03%,3921200,0,392120,27.17,0.0,27.1657
08/02/2022,7.1,6.91,-0.21,-2.95%,5509400,0,550940,38.58,0.0,38.57981
07/02/2022,6.98,7.12,0.46,6.91%,3861800,0,386180,27.32,0.0,27.31704
28/01/2022,6.2,6.66,0.26,4.06%,3512100,0,351210,22.26,0.0,22.2633
27/01/2022,6.43,6.4,-0.2,-3.03%,3707100,0,370710,24.23,0.0,24.22916
26/01/2022,7.01,6.6,-0.36,-5.17%,3863800,0,386380,26.55,0.0,26.54772
25/01/2022,6.65,6.96,0.01,0.14%,4255300,0,425530,29.21,0.0,29.21188
24/01/2022,7.49,6.95,-0.52,-6.96%,8303200,0,830320,58.86,0.0,58.85716
21/01/2022,7.4,7.47,0.48,6.87%,4548100,0,454810,33.77,0.0,33.77339
20/01/2022,6.15,6.99,0.45,6.88%,5890300,0,589030,39.12,0.0,39.12019
19/01/2022,6.6,6.54,-0.49,-6.97%,13554000,0,1337470,89.65,0.0,89.6523
18/01/2022,7.03,7.03,-0.52,-6.89%,9848000,0,974920,69.6,0.0,69.5965
17/01/2022,8.39,7.55,-0.56,-6.91%,9433200,0,943320,74.14,0.0,74.13503
14/01/2022,7.94,8.11,-0.42,-4.92%,16044800,0,1604480,131.12,0.0,131.1229
13/01/2022,8.53,8.53,-0.64,-6.98%,13724400,0,1372440,117.44,0.0,117.4423
12/01/2022,9.3,9.17,-0.68,-6.90%,8538800,0,853880,79.59,0.0,79.58769
11/01/2022,10.1,9.85,-0.35,-3.43%,13418800,0,1341880,135.55,0.0,135.55169
10/01/2022,10.4,10.2,-0.2,-1.92%,19389600,0,1938960,208.62,0.0,208.61718
07/01/2022,10.2,10.4,0.2,1.96%,12415600,0,1241560,128.32,0.0,128.31864
06/01/2022,9.7,10.2,0.46,4.72%,13921500,0,1392150,139.41,0.0,139.40829
05/01/2022,9.8,9.74,0.31,3.29%,9473500,0,947350,92.58,0.0,92.57707
04/01/2022,9.36,9.43,0.07,0.75%,9491300,0,949130,89.35,0.0,89.35325
31/12/2021,9.6,9.36,-0.39,-4.00%,12819400,0,1281940,121.92,0.0,121.91835
30/12/2021,10.0,9.75,-0.5,-4.88%,15618400,0,1561840,156.04,0.0,156.04194
29/12/2021,10.8,10.25,-0.25,-2.38%,11915800,0,1191580,124.31,0.0,124.30798
