Ngày,Mở cửa,Đóng cửa,Thay đổi,% Thay đổi,KLGD khớp lệnh,KLGD thỏa thuận,KLGD tổng cộng,GTGD khớp lệnh (tỷ),GTGD thỏa thuận (tỷ),GTGD tổng cộng (tỷ)
17/06/2022,90.5,90.5,-1.0,-1.09%,300,0,300,0.0,0.0,0.0
16/06/2022,90.5,91.5,-2.0,-2.14%,3500,0,3500,0.0,0.0,0.0
15/06/2022,93.5,93.5,0.6,0.65%,400,0,400,0.0,0.0,0.0
14/06/2022,92.9,92.9,2.9,3.22%,100,0,100,0.0,0.0,0.0
13/06/2022,91.0,90.0,-5.1,-5.36%,12100,0,12100,0.0,0.0,0.0
10/06/2022,95.1,95.1,0.0,0,0,0,0,0.0,0.0,0.0
09/06/2022,94.0,95.1,-8.3,-8.03%,1200,0,1200,0.0,0.0,0.0
08/06/2022,103.4,103.4,0.0,0,0,0,0,0.0,0.0,0.0
07/06/2022,103.4,103.4,9.4,10.00%,100,0,100,0.0,0.0,0.0
06/06/2022,94.0,94.0,0.0,0,0,0,0,0.0,0.0,0.0
03/06/2022,94.0,94.0,0.0,0,14800,0,14800,0.0,0.0,0.0
02/06/2022,92.6,94.0,0.0,0,7200,0,7200,0.0,0.0,0.0
01/06/2022,93.9,94.0,0.0,0,4000,0,4000,0.0,0.0,0.0
31/05/2022,94.0,94.0,0.0,0,0,0,0,0.0,0.0,0.0
30/05/2022,94.0,94.0,-2.5,-2.59%,100,0,100,0.0,0.0,0.0
27/05/2022,96.5,96.5,0.0,0,0,0,0,0.0,0.0,0.0
26/05/2022,91.0,96.5,-0.5,-0.52%,200,0,200,0.0,0.0,0.0
25/05/2022,97.0,97.0,1.0,1.04%,2800,0,2800,0.0,0.0,0.0
24/05/2022,96.0,96.0,5.4,5.96%,200,0,200,0.0,0.0,0.0
23/05/2022,90.7,90.6,-5.4,-5.63%,1800,0,1800,0.0,0.0,0.0
20/05/2022,96.4,96.0,3.5,3.78%,19900,0,19900,0.0,0.0,0.0
19/05/2022,92.5,92.5,0.0,0,0,0,0,0.0,0.0,0.0
18/05/2022,90.0,92.5,-4.4,-4.54%,8100,0,8100,0.74,0.0,0.74425
17/05/2022,97.0,96.9,6.9,7.67%,200,0,200,0.02,0.0,0.01939
16/05/2022,91.0,90.0,-1.0,-1.10%,600,0,600,0.05,0.0,0.0541
13/05/2022,93.1,91.0,-2.2,-2.36%,19400,0,19400,1.76,0.0,1.76298
12/05/2022,93.1,93.2,0.1,0.11%,2900,0,2900,0.27,0.0,0.27032
11/05/2022,93.1,93.1,0.0,0,400,0,400,0.04,0.0,0.03724
10/05/2022,90.0,93.1,3.1,3.44%,200,0,200,0.02,0.0,0.01831
09/05/2022,109.7,90.0,-9.8,-9.82%,2500,0,2500,0.23,0.0,0.22989
06/05/2022,99.8,99.8,0.0,0,0,0,0,0.0,0.0,0.0
05/05/2022,95.0,99.8,3.6,3.74%,500,0,500,0.05,0.0,0.04773
04/05/2022,100.0,96.2,-3.8,-3.80%,1600,0,1600,0.15,0.0,0.15468
29/04/2022,100.0,100.0,0.0,0,300,0,300,0.03,0.0,0.03
28/04/2022,100.0,100.0,0.0,0,0,0,0,0.0,0.0,0.0
27/04/2022,98.7,100.0,1.4,1.42%,1500,0,1500,0.15,0.0,0.14799
26/04/2022,90.0,98.6,2.6,2.71%,1201,0,1200,0.11,0.0,0.10985
25/04/2022,100.0,96.0,-8.9,-8.48%,1500,0,1500,0.15,0.0,0.14793
22/04/2022,101.0,104.9,1.6,1.55%,1209,0,1200,0.12,0.0,0.12081
21/04/2022,102.0,103.3,-0.1,-0.10%,1000,0,1000,0.1,0.0,0.10265
20/04/2022,96.0,103.4,0.3,0.29%,801,0,800,0.08,0.0,0.08094
19/04/2022,102.1,103.1,-1.9,-1.81%,2404,0,2400,0.25,0.0,0.24535
18/04/2022,105.0,105.0,-2.0,-1.87%,1300,0,1300,0.13,0.0,0.13324
15/04/2022,105.0,107.0,-0.9,-0.83%,4700,0,4700,0.5,0.0,0.49861
14/04/2022,108.0,107.9,-0.1,-0.09%,2800,0,2800,0.29,0.0,0.29364
13/04/2022,108.0,108.0,0.1,0.09%,106,0,100,0.01,0.0,0.01145
12/04/2022,105.0,107.9,-0.1,-0.09%,1100,0,1100,0.12,0.0,0.11579
08/04/2022,108.0,108.0,0.0,0,10200,0,10200,1.1,0.0,1.10119
07/04/2022,108.0,108.0,0.0,0,2000,0,2000,0.22,0.0,0.21587
06/04/2022,108.0,108.0,0.0,0,600,0,600,0.06,0.0,0.0648
05/04/2022,109.0,108.0,-2.1,-1.91%,9802,0,9800,1.06,0.0,1.05733
04/04/2022,110.1,110.1,0.1,0.09%,8222,0,8200,0.91,0.0,0.90505
01/04/2022,107.7,110.0,2.3,2.14%,3300,0,3300,0.36,0.0,0.36218
31/03/2022,107.5,107.7,0.2,0.19%,5200,0,5200,0.56,0.0,0.55941
30/03/2022,107.5,107.5,0.5,0.47%,3016,0,3000,0.33,0.0,0.32508
29/03/2022,108.8,107.0,0.0,0,5100,0,5100,0.55,0.0,0.54711
28/03/2022,110.5,107.0,-2.7,-2.46%,3800,0,3800,0.41,0.0,0.40895
25/03/2022,110.3,109.7,-0.6,-0.54%,504,0,500,0.06,0.0,0.05544
24/03/2022,110.5,110.3,0.3,0.27%,3711,0,3700,0.41,0.0,0.40878
23/03/2022,116.0,116.0,0.0,0,5600,0,5600,0.65,0.0,0.6496
22/03/2022,116.2,116.0,0.0,0,6823,0,6800,0.79,0.0,0.79342
21/03/2022,114.5,116.0,1.9,1.67%,19232,0,19200,2.2,0.0,2.20404
18/03/2022,114.1,114.1,0.1,0.09%,1341,0,1300,0.15,0.0,0.15367
17/03/2022,115.0,114.0,0.0,0,1111,0,1100,0.13,0.0,0.1273
16/03/2022,114.6,114.0,-0.6,-0.52%,1613,0,1600,0.18,0.0,0.18465
15/03/2022,113.5,114.6,-0.1,-0.09%,2200,0,2200,0.25,0.0,0.25213
14/03/2022,114.0,114.7,0.0,0,4601,0,4600,0.52,0.0,0.52014
11/03/2022,119.4,114.7,-4.7,-3.94%,1010,0,1000,0.12,0.0,0.11764
10/03/2022,120.6,119.4,0.3,0.25%,300,0,300,0.04,0.0,0.03594
09/03/2022,119.1,119.1,0.0,0,0,0,0,0.0,0.0,0.0
08/03/2022,120.0,119.1,4.6,4.02%,3412,0,3400,0.41,0.0,0.40955
07/03/2022,114.0,114.5,0.9,0.79%,1701,0,1700,0.19,0.0,0.19416
04/03/2022,114.0,113.6,-0.4,-0.35%,300,0,300,0.03,0.0,0.03412
03/03/2022,114.0,114.0,1.3,1.15%,1100,0,1100,0.13,0.0,0.1254
02/03/2022,112.9,112.7,-0.3,-0.27%,920,0,900,0.1,0.0,0.10371
01/03/2022,113.0,113.0,0.0,0,126,0,100,0.01,0.0,0.01422
