Ngày,Mở cửa,Đóng cửa,Thay đổi,% Thay đổi,KLGD khớp lệnh,KLGD thỏa thuận,KLGD tổng cộng,GTGD khớp lệnh (tỷ),GTGD thỏa thuận (tỷ),GTGD tổng cộng (tỷ)
17/06/2022,35.2,35.0,-6.0,-14.63%,1900,0,1900,0.0,0.0,0.0
16/06/2022,41.0,41.0,0.4,0.99%,1000,0,1000,0.0,0.0,0.0
15/06/2022,40.6,40.6,0.0,0,0,0,0,0.0,0.0,0.0
14/06/2022,40.6,40.6,0.0,0,0,0,0,0.0,0.0,0.0
13/06/2022,40.6,40.6,0.0,0,0,0,0,0.0,0.0,0.0
10/06/2022,40.0,41.0,1.0,2.50%,1200,0,1200,0.0,0.0,0.0
09/06/2022,40.0,40.0,-3.6,-8.26%,500,0,500,0.0,0.0,0.0
08/06/2022,43.6,43.6,0.0,0,600,0,600,0.0,0.0,0.0
07/06/2022,43.6,43.6,0.0,0,0,0,0,0.0,0.0,0.0
06/06/2022,43.6,43.6,0.0,0,0,0,0,0.0,0.0,0.0
03/06/2022,43.6,43.6,0.0,0,0,0,0,0.0,0.0,0.0
02/06/2022,43.6,43.6,0.0,0,0,0,0,0.0,0.0,0.0
01/06/2022,43.6,43.6,0.0,0,0,0,0,0.0,0.0,0.0
31/05/2022,43.6,43.6,0.0,0,0,0,0,0.0,0.0,0.0
30/05/2022,43.6,43.6,0.0,0,0,0,0,0.0,0.0,0.0
27/05/2022,43.6,43.6,0.0,0,0,0,0,0.0,0.0,0.0
26/05/2022,43.6,43.6,0.0,0,0,0,0,0.0,0.0,0.0
25/05/2022,43.6,43.6,0.0,0,0,0,0,0.0,0.0,0.0
24/05/2022,43.6,43.6,0.0,0,0,0,0,0.0,0.0,0.0
23/05/2022,43.6,43.6,0.0,0,0,0,0,0.0,0.0,0.0
20/05/2022,39.6,47.9,1.5,3.23%,500,0,500,0.0,0.0,0.0
19/05/2022,46.4,46.4,0.0,0,0,0,0,0.0,0.0,0.0
18/05/2022,46.4,46.4,-1.4,-2.93%,1000,0,1000,0.05,0.0,0.0464
17/05/2022,47.8,47.8,0.0,0,0,0,0,0.0,0.0,0.0
16/05/2022,47.8,47.8,0.0,0,0,0,0,0.0,0.0,0.0
13/05/2022,47.8,47.8,0.0,0,0,0,0,0.0,0.0,0.0
12/05/2022,47.8,47.8,0.0,0,0,0,0,0.0,0.0,0.0
11/05/2022,47.8,47.8,1.8,3.91%,274,0,200,0.01,0.0,0.01252
10/05/2022,46.0,46.0,0.0,0,0,0,0,0.0,0.0,0.0
