Ngày,Mở cửa,Đóng cửa,Thay đổi,% Thay đổi,KLGD khớp lệnh,KLGD thỏa thuận,KLGD tổng cộng,GTGD khớp lệnh (tỷ),GTGD thỏa thuận (tỷ),GTGD tổng cộng (tỷ)
17/06/2022,15.2,15.2,0.0,0,0,0,0,0.0,0.0,0.0
16/06/2022,15.2,15.2,0.0,0,0,0,0,0.0,0.0,0.0
15/06/2022,15.2,15.2,0.0,0,0,0,0,0.0,0.0,0.0
14/06/2022,15.2,15.2,0.0,0,0,0,0,0.0,0.0,0.0
13/06/2022,15.2,15.2,0.0,0,0,0,0,0.0,0.0,0.0
10/06/2022,15.2,15.2,0.0,0,0,0,0,0.0,0.0,0.0
09/06/2022,15.2,15.2,0.0,0,0,0,0,0.0,0.0,0.0
08/06/2022,15.2,15.2,0.0,0,0,0,0,0.0,0.0,0.0
07/06/2022,15.6,15.6,0.0,0,0,0,0,0.0,0.0,0.0
06/06/2022,15.6,15.6,0.0,0,0,0,0,0.0,0.0,0.0
03/06/2022,15.6,15.6,0.0,0,0,0,0,0.0,0.0,0.0
02/06/2022,15.6,15.6,0.0,0,0,0,0,0.0,0.0,0.0
01/06/2022,15.6,15.6,0.0,0,0,0,0,0.0,0.0,0.0
31/05/2022,15.6,15.6,0.0,0,0,0,0,0.0,0.0,0.0
30/05/2022,15.6,15.6,0.0,0,0,0,0,0.0,0.0,0.0
27/05/2022,15.6,15.6,0.0,0,0,0,0,0.0,0.0,0.0
26/05/2022,15.6,15.6,0.0,0,0,0,0,0.0,0.0,0.0
25/05/2022,15.6,15.6,0.0,0,0,0,0,0.0,0.0,0.0
24/05/2022,15.6,15.6,0.0,0,0,0,0,0.0,0.0,0.0
23/05/2022,15.6,15.6,0.0,0,0,0,0,0.0,0.0,0.0
20/05/2022,15.6,15.6,0.0,0,0,0,0,0.0,0.0,0.0
19/05/2022,15.6,15.6,0.0,0,0,3327,0,0.0,0.04525,0.04525
18/05/2022,15.6,15.6,0.0,0,0,0,0,0.0,0.0,0.0
17/05/2022,15.6,15.6,0.0,0,0,7040,0,0.0,0.09574,0.09574
16/05/2022,15.6,15.6,0.0,0,0,0,0,0.0,0.0,0.0
13/05/2022,15.6,15.6,0.0,0,0,19964,0,0.0,0.27151,0.27151
12/05/2022,15.6,15.6,0.0,0,0,12443,0,0.0,0.16922,0.16922
11/05/2022,15.6,15.6,0.0,0,0,18008,0,0.0,0.24491,0.24491
10/05/2022,15.6,15.6,0.0,0,0,0,0,0.0,0.0,0.0
09/05/2022,15.6,15.6,0.0,0,0,0,0,0.0,0.0,0.0
06/05/2022,15.6,15.6,0.0,0,16,27632,0,0.0,0.3758,0.37608
05/05/2022,15.6,15.6,2.0,14.71%,57652,0,57600,0.9,0.0,0.89937
04/05/2022,13.6,13.6,-2.4,-15.00%,200,0,200,0.0,0.0,0.00272
29/04/2022,16.0,16.0,0.0,0,0,0,0,0.0,0.0,0.0
28/04/2022,16.0,16.0,0.0,0,0,0,0,0.0,0.0,0.0
27/04/2022,16.0,16.0,0.0,0,0,0,0,0.0,0.0,0.0
26/04/2022,16.0,16.0,0.0,0,0,0,0,0.0,0.0,0.0
25/04/2022,16.0,16.0,0.0,0,0,0,0,0.0,0.0,0.0
22/04/2022,16.0,16.0,0.0,0,0,0,0,0.0,0.0,0.0
21/04/2022,16.0,16.0,-1.0,-5.88%,200,0,200,0.0,0.0,0.0032
20/04/2022,17.0,17.0,0.0,0,0,0,0,0.0,0.0,0.0
19/04/2022,17.0,17.0,0.0,0,0,0,0,0.0,0.0,0.0
18/04/2022,17.0,17.0,0.0,0,0,0,0,0.0,0.0,0.0
